region,cases,deaths,recovered
USA,44314403,716843,33721004
India,33765488,448372,33035524
Brazil,21427073,596800,20425139
UK,7807036,136662,6323896
Russia,7511026,207255,6672767
Turkey,7154070,64054,6615908
France,7013432,116713,6771134
Iran,5587040,120428,5031692
Argentina,5256902,115179,5118324
Spain,4959091,86415,4755738
Colombia,4957277,126299,4799576
Italy,4672355,130921,4447126
Germany,4241706,94250,4000100
Indonesia,4215104,141939,4037024
Mexico,3655395,276972,3006959
Poland,2907071,75650,2662484
South Africa,2902672,87626,2773344
Philippines,2549966,38294,2373378
Ukraine,2423379,56274,2255191
Malaysia,2245695,26335,2054824
Peru,2175305,199367,N/A
Iraq,2003303,22260,1910908
Netherlands,2003050,18170,1922887
Japan,1699636,17605,1652318
Czechia,1691489,30459,1654206
Chile,1654264,37468,1609512
Canada,1623243,27853,1550939
Thailand,1603475,16727,1470673
Bangladesh,1555911,27510,1515941
Israel,1282218,7761,1228147
Pakistan,1245127,27729,1169566
Belgium,1242821,25595,1155371
Romania,1233668,37041,1118816
Sweden,1152886,14822,1112870
Portugal,1069279,17975,1020693
Serbia,941989,8234,803722
Morocco,933071,14267,906160
Kazakhstan,884886,11178,820792
Cuba,877428,7436,841128
Switzerland,840359,11099,768627
Jordan,823919,10718,800745
Hungary,822705,30190,785090
Nepal,795061,11135,765758
Vietnam,790755,19301,608831
Austria,743095,11009,711844
UAE,735992,2097,728546
Tunisia,707190,24890,675942
Greece,655767,14828,614703
Lebanon,624230,8325,593941
Georgia,613012,8946,585071
Guatemala,560315,13564,519012
Saudi Arabia,547134,8716,536178
Belarus,538086,4143,518715
Costa Rica,532185,6386,437328
Sri Lanka,517377,12906,457488
Ecuador,509238,32762,443880
Bulgaria,502162,20882,437321
Bolivia,500090,18726,459473
Azerbaijan,483902,6525,458922
Panama,466851,7223,456314
Myanmar,464076,17735,418329
Paraguay,459967,16198,443140
Slovakia,412507,12637,387728
Kuwait,411655,2449,408545
Croatia,404790,8640,387275
Palestine,403716,4098,374031
Ireland,389932,5249,343744
Uruguay,388928,6055,381559
Venezuela,367672,4454,349967
Honduras,365994,9777,110364
Dominican Republic,359047,4046,349404
Denmark,358796,2656,351093
Ethiopia,345674,5582,312806
Libya,340084,4651,259574
Lithuania,331683,4993,303288
S. Korea,311289,2481,274205
Mongolia,304084,1277,291328
Egypt,303783,17294,256467
Oman,303769,4096,297832
Moldova,294392,6777,277659
Slovenia,293364,4561,275986
Bahrain,275057,1389,273014
Armenia,261697,5319,241841
Kenya,249434,5123,241520
Qatar,236643,606,234762
Bosnia and Herzegovina,234775,10606,192218
Zambia,209046,3648,204983
Nigeria,205779,2721,193631
Algeria,203359,5812,139309
North Macedonia,191408,6668,172653
Norway,189431,861,88952
Botswana,179220,2368,174549
Kyrgyzstan,178532,2607,173206
