region,cases,deaths,recovered
USA,88039775,1038375,83896108
India,43320845,524873,42707900
Brazil,31754465,669161,30310772
France,30181415,149106,29370192
Germany,27211866,140292,26197700
UK,22472503,179537,22083424
Russia,18400927,380517,17825397
S. Korea,18280090,24451,18104872
Italy,17896065,167780,17153636
Turkey,15085742,98996,14986340
Spain,12563399,107482,12058724
Vietnam,10738161,43083,9611400
Argentina,9341492,129016,9101579
Japan,9149733,31032,8977364
Netherlands,8132482,22345,8054027
Australia,7823277,9387,7581353
Iran,7234988,141366,7060622
Colombia,6131657,139918,5952212
Indonesia,6069255,156695,5903461
Poland,6011286,116393,5335608
Mexico,5875705,325408,5115220
Portugal,5062552,23924,4480032
Ukraine,5014929,108605,N/A
DPRK,4639930,73,4608320
Malaysia,4542705,35735,4481018
Thailand,4500828,30488,4449432
Austria,4334212,18732,4254136
Israel,4244462,10911,4175782
Belgium,4187940,31856,4104626
South Africa,3986892,101620,3871421
Czechia,3925358,40308,3883515
Canada,3913013,41738,3549531
Chile,3901215,58277,3578742
Philippines,3696793,60467,3631586
Switzerland,3684270,13975,3633398
Peru,3599501,213389,3372378
Greece,3549944,30099,3453188
Taiwan,3330695,5365,2027717
Denmark,2999533,6429,2979887
Romania,2915487,65726,2844839
Sweden,2512853,19042,2487916
Iraq,2332692,25229,2304557
Serbia,2022902,16112,2001595
Bangladesh,1957200,29131,1905899
Hungary,1923122,46594,1862334
Slovakia,1792381,20137,1770123
Jordan,1697271,14068,1682962
Georgia,1658755,16838,1637293
Ireland,1578284,7409,1550579
Pakistan,1532147,30383,1498217
Norway,1439751,3250,1431403
Singapore,1370981,1405,1288506
Kazakhstan,1305962,13663,1292178
New Zealand,1277568,1337,1241191
Hong Kong,1228011,9396,1199111
Morocco,1186597,16087,1160121
Bulgaria,1168508,37227,1069503
Croatia,1141948,16031,1123900
Finland,1125342,4771,N/A
Cuba,1105778,8529,1097103
Lebanon,1103711,10451,1087587
Lithuania,1065186,9161,1038054
Tunisia,1044426,28655,N/A
Slovenia,1031216,6646,1019750
Belarus,982867,6978,N/A
Nepal,979382,11952,967310
Uruguay,943877,7290,928373
UAE,928919,2309,909736
Mongolia,926282,2179,N/A
Bolivia,915500,21951,878701
Costa Rica,904934,8525,860711
Panama,903529,8323,878381
Ecuador,896483,35693,N/A
Guatemala,880715,18414,848040
Latvia,832168,5846,823595
Azerbaijan,793010,9716,783164
Saudi Arabia,786069,9189,767042
Sri Lanka,664010,16520,646999
Paraguay,653428,18947,624673
Kuwait,638708,2555,632503
Myanmar,613494,19434,592498
Bahrain,607475,1491,594534
Dominican Republic,598079,4383,587756
Palestine,583293,5356,577527
Estonia,578494,2586,521120
Venezuela,524911,5724,517742
Moldova,519234,11554,504142
Egypt,515645,24613,442182
Libya,502076,6430,490973
Cyprus,491777,1067,124370
Ethiopia,484536,7524,458374
Honduras,426095,10904,132444
Armenia,423044,8629,412661
Réunion,419968,799,417167
Oman,389758,4260,384669
Bosnia and Herzegovina,378295,15797,N/A
Qatar,376149,678,371781
Kenya,329605,5651,320798
Zambia,324344,3997,319267
Botswana,314242,2709,306118
North Macedonia,312960,9322,303287
Albania,277444,3497,273262
Algeria,265985,6875,178470
Nigeria,256573,3144,250155
Zimbabwe,254831,5534,247527
Luxembourg,251873,1084,245443
Uzbekistan,239726,1637,237713
Montenegro,238549,2723,235098
Mozambique,227161,2210,224387
Laos,210208,757,N/A
Kyrgyzstan,201016,2991,196406
Martinique,192506,957,104
Iceland,191079,153,N/A
Afghanistan,181725,7714,163772
Maldives,180384,300,163687
Namibia,168868,4056,163598
Uganda,166920,3615,100395
Trinidad and Tobago,165908,3984,154485
Guadeloupe,164325,950,2250
Ghana,164164,1448,161405
El Salvador,164134,4137,158594
Brunei,157772,225,153418
Jamaica,141306,3093,88864
Cambodia,136262,3056,133206
Rwanda,130608,1459,45522
Cameroon,119947,1930,117791
Angola,99761,1900,97149
Malta,98105,730,94098
DRC,89932,1345,50930
Senegal,86230,1968,84230
Malawi,86225,2644,82966
French Guiana,85596,400,11254
Barbados,82950,472,81478
Ivory Coast,82724,802,81780
Suriname,80766,1355,49544
Channel Islands,77923,178,76745
French Polynesia,73142,649,N/A
Eswatini,73013,1415,71586
Guyana,66491,1247,64347
Fiji,65361,865,63375
Madagascar,65009,1398,63133
New Caledonia,62866,313,62064
Sudan,62489,4950,N/A
Belize,61918,678,59255
Bhutan,59674,21,59627
Mauritania,59310,982,58229
Cabo Verde,58271,402,56880
Syria,55913,3150,52743
Gabon,47742,304,47330
Papua New Guinea,44681,658,43982
Seychelles,44521,167,43905
Curaçao,44127,277,43567
Andorra,43449,153,42984
Burundi,42398,38,N/A
Aruba,39980,219,39054
Mauritius,38060,996,36416
Mayotte,37523,187,2964
Togo,37247,273,36900
Guinea,36597,442,36113
Bahamas,35644,815,33843
Tanzania,35354,840,N/A
Faeroe Islands,34658,28,N/A
Isle of Man,33821,107,26794
Lesotho,33746,699,24155
Mali,31140,736,30314
Haiti,31054,837,29752
Benin,27122,163,25506
Cayman Islands,26797,28,8553
Saint Lucia,26763,376,26165
Somalia,26675,1350,13182
Congo,24128,385,20178
Timor-Leste,22944,133,22774
Solomon Islands,21237,149,16357
Burkina Faso,20853,382,20439
Gibraltar,19010,102,16579
Nicaragua,18491,225,4225
Grenada,18115,231,17705
Liechtenstein,17706,85,17556
South Sudan,17697,138,15630
San Marino,17413,115,17110
Tajikistan,17388,124,17264
Equatorial Guinea,15951,183,15719
Bermuda,15762,138,15249
Djibouti,15686,189,15427
Dominica,14781,67,14450
CAR,14649,113,6859
Samoa,14497,28,1605
Monaco,12616,57,12432
Tonga,12079,12,11821
Gambia,12002,365,11591
Greenland,11971,21,2761
Yemen,11823,2149,9108
Vanuatu,10924,14,10839
Saint Martin,10668,63,1399
Sint Maarten,10508,86,10368
Caribbean Netherlands,10245,35,10156
Eritrea,9777,103,9667
Niger,9031,310,8628
Antigua and Barbuda,8581,140,8349
Guinea-Bissau,8307,171,8085
Comoros,8100,160,7933
Sierra Leone,7688,125,N/A
Liberia,7489,294,5747
Chad,7420,193,4874
