region,cases,deaths,recovered
USA,11384023,251969,6945088
India,8868468,130417,8282065
Brazil,5863093,165811,5291511
France,1981827,44548,139810
Russia,1948603,33489,1453849
Spain,1492608,40769,N/A
UK,1369318,51934,N/A
Argentina,1310491,35436,1129102
Italy,1205881,45733,442364
Colombia,1198746,34031,1104956
Mexico,1006522,98542,750190
Peru,937011,35231,863120
Germany,811724,12775,515200
Iran,775121,41979,564699
South Africa,751024,20241,693467
Poland,733788,10491,306022
Ukraine,545689,9697,244197
Belgium,535939,14421,32909
Chile,532604,14863,508067
Iraq,521542,11712,449565
Indonesia,470648,15296,395443
Czechia,460116,6208,327306
Netherlands,452701,8530,N/A
Bangladesh,434472,6215,351146
Turkey,417594,11601,356375
Philippines,409574,7839,374366
Romania,365212,9075,246633
Pakistan,359032,7160,323824
Saudi Arabia,353556,5676,340668
Israel,324293,2732,313643
Canada,298782,10988,237543
Morocco,293177,4779,238598
Switzerland,269974,3496,141000
Portugal,217301,3381,125066
Nepal,210973,1230,176364
Austria,208613,1887,129671
Ecuador,180295,13008,160639
Sweden,177355,6164,N/A
UAE,151554,534,143932
Jordan,149539,1843,10311
Hungary,147456,3190,34010
Panama,146653,2873,125370
Bolivia,143246,8849,117137
Kuwait,137329,842,128414
Qatar,136028,235,133010
Dominican Republic,134203,2286,110381
Costa Rica,123223,1546,75341
Kazakhstan,121051,1899,109944
Oman,120718,1350,111446
Japan,118136,1885,103674
Armenia,117886,1788,75865
Belarus,115448,1053,96462
Guatemala,115032,3938,104786
Egypt,110767,6453,101046
Lebanon,105430,817,60416
Honduras,103102,2823,44778
Ethiopia,102720,1569,63866
Bulgaria,98251,2130,29375
Venezuela,97352,851,92373
Moldova,89843,2035,71874
Serbia,87381,1030,31536
Slovakia,87276,526,31053
Croatia,85519,1082,68738
Bahrain,84703,335,82469
Georgia,82835,733,65291
Tunisia,80404,2345,54362
Azerbaijan,77083,985,55755
Greece,76403,1165,9989
Libya,74324,1025,44733
Bosnia and Herzegovina,72689,1973,36473
Paraguay,71574,1587,51375
Uzbekistan,70299,598,67526
Kenya,70245,1269,45766
Myanmar,70161,1599,53299
Algeria,68589,2168,45148
Ireland,67903,1979,23364
Kyrgyzstan,66983,1203,57760
Nigeria,65148,1163,61073
Palestine,63867,572,54953
Denmark,63331,764,48696
Singapore,58124,28,58033
Slovenia,55543,831,35387
Ghana,50123,322,48328
Malaysia,48520,313,35606
North Macedonia,47050,1305,27364
Afghanistan,43403,1626,35137
El Salvador,36669,1047,33064
Lithuania,35911,285,7882
Norway,29236,294,19025
S. Korea,28769,494,25759
Albania,28432,631,13453
Montenegro,27773,396,17862
Australia,27750,907,25498
Luxembourg,27256,236,17734
Cameroon,22692,433,21510
Ivory Coast,20976,128,20647
Finland,19419,371,14000
Sri Lanka,17674,58,11806
Madagascar,17310,250,16592
Zambia,17187,353,16400
Uganda,16020,145,8038
Senegal,15801,329,15421
Sudan,14626,1116,9571
Mozambique,14514,116,12599
Namibia,13508,138,12680
Angola,13451,322,6444
Guinea,12624,75,11270
Maldives,12204,44,11289
DRC,11839,321,11124
French Polynesia,11706,53,4842
Tajikistan,11649,85,11019
French Guiana,10876,70,9995
Latvia,10636,126,1515
Jamaica,9929,231,5330
Cabo Verde,9822,103,9220
Haiti,9168,232,7701
Gabon,9062,58,8939
Zimbabwe,8829,257,8096
Botswana,8225,27,5559
Malta,8137,98,5888
Guadeloupe,8098,139,2242
Mauritania,7952,165,7524
Estonia,7848,81,4749
Cuba,7639,131,7078
Bahamas,7186,156,5323
Cyprus,7178,39,2021
Réunion,7161,31,5928
Syria,6684,345,2714
Eswatini,6095,119,5779
Trinidad and Tobago,6080,112,5402
Malawi,5971,185,5402
Andorra,5872,76,4747
Nicaragua,5661,158,4225
Djibouti,5649,61,5525
Congo,5515,92,3887
Hong Kong,5467,108,5198
Rwanda,5455,45,4995
Suriname,5274,114,5148
Iceland,5205,25,4840
Equatorial Guinea,5104,85,4973
Mayotte,4943,46,2964
CAR,4900,63,1924
Belize,4861,90,2598
Guyana,4823,139,3777
Martinique,4732,37,98
Aruba,4662,44,4534
Somalia,4301,107,3330
Uruguay,4030,65,3233
Mali,3900,141,2949
Thailand,3875,60,3721
Gambia,3702,122,3571
South Sudan,3003,59,1290
Benin,2884,43,2579
