region,cases,deaths,recovered
USA,36190896,631362,29787937
India,31855725,426782,31007795
Brazil,20026533,559715,18800884
Russia,6379904,162509,5700212
France,6207416,112046,5721295
UK,5982581,130086,4585415
Turkey,5846784,51875,5484821
Argentina,4975616,106747,4615834
Colombia,4815063,121695,4615354
Spain,4566571,81931,3773956
Italy,4377188,128163,4147979
Iran,4057758,92628,3467765
Germany,3788014,92251,3661200
Indonesia,3568331,102375,2947646
Mexico,2901094,242547,2270427
Poland,2883624,75275,2654097
South Africa,2497655,73873,2268085
Ukraine,2256397,53049,2188815
Peru,2119068,196673,N/A
Netherlands,1878214,17850,1674995
Iraq,1684955,19000,1502221
Czechia,1674410,30371,1641485
Philippines,1627816,28427,1532494
Chile,1620389,35806,1576242
Canada,1435279,26632,1400263
Bangladesh,1322654,21902,1156943
Malaysia,1203706,10019,976626
Belgium,1132934,25258,1062447
Sweden,1103693,14620,1077413
Romania,1084226,34300,1048215
Pakistan,1053660,23635,952616
Portugal,979987,17422,917367
Japan,970460,15228,858461
Israel,889111,6509,857135
Hungary,809803,30032,750955
Jordan,775251,10100,753006
Serbia,724097,7132,711336
Switzerland,722801,10909,693154
Nepal,708079,9994,663663
Thailand,693305,5663,473732
UAE,688489,1967,665593
Morocco,665325,10087,590032
Austria,661359,10745,644840
Kazakhstan,610744,6402,499965
Tunisia,602757,20550,530545
Lebanon,565896,7921,537653
Saudi Arabia,530981,8297,512373
Greece,503885,12988,458922
Ecuador,489089,31694,443880
Bolivia,476097,17910,411830
Paraguay,453794,15172,423964
Belarus,450445,3503,444613
Panama,438781,6860,420113
Georgia,436573,5986,393453
Cuba,431013,3184,382141
Bulgaria,426432,18229,398721
Costa Rica,412918,5087,334759
Kuwait,401697,2356,389798
Slovakia,392898,12541,379678
Uruguay,381994,5979,374203
Guatemala,381514,10578,333958
Croatia,364491,8270,355000
Azerbaijan,348074,5043,333913
Dominican Republic,343512,3971,325177
Sri Lanka,321429,4821,286365
Denmark,321154,2552,307121
Myanmar,319250,10988,230308
Palestine,317404,3609,312320
Venezuela,309218,3649,294607
Ireland,307019,5044,269994
Honduras,303387,8014,102384
Oman,298020,3906,282763
Egypt,284472,16550,232179
Lithuania,284432,4424,270037
Ethiopia,282498,4406,264165
Bahrain,269617,1384,267220
Libya,262948,3663,196714
Moldova,260183,6270,252548
Slovenia,259764,4429,254042
Armenia,231322,4632,220617
Qatar,227055,601,224384
Kenya,208262,4057,195685
Bosnia and Herzegovina,206031,9689,190492
S. Korea,205702,2109,180719
Zambia,198455,3447,190279
Vietnam,181756,2327,54332
