region,cases,deaths,recovered
USA,9926637,241026,6341604
India,8411724,125029,7765966
Brazil,5614258,161779,5064344
Russia,1733440,29887,1296124
France,1601367,39037,124278
Spain,1365895,38486,N/A
Argentina,1217028,32766,1030137
UK,1123197,48120,N/A
Colombia,1117977,32209,1011166
Mexico,949197,93772,701837
Peru,914722,34730,838265
Italy,824879,40192,312339
South Africa,732414,19677,671579
Iran,663800,37409,509952
Germany,623613,11225,402500
Chile,516582,14404,493250
Poland,493765,7287,188675
Iraq,489571,11175,420206
Belgium,479341,12520,27987
Ukraine,440188,8125,195544
Indonesia,429574,14442,360705
Bangladesh,417475,6036,335027
Czechia,391945,4330,214272
Philippines,391809,7461,349974
Netherlands,390488,7769,N/A
Turkey,386820,10639,332379
Saudi Arabia,349822,5506,336533
Pakistan,340251,6923,317086
Israel,318140,2642,306514
Romania,287062,7663,195971
Canada,251338,10381,207998
Morocco,240951,4059,197215
Switzerland,211913,2666,87300
Nepal,188883,1070,152908
Ecuador,171783,12730,149048
Portugal,161350,2740,91453
Bolivia,142201,8768,113386
Sweden,141764,6002,N/A
UAE,139891,510,136936
Austria,138979,1340,83707
Panama,136567,2756,115078
Qatar,133811,232,130881
Kuwait,130463,804,121263
Dominican Republic,128824,2260,106650
Oman,117167,1286,107368
Kazakhstan,114826,1857,107339
Costa Rica,114367,1444,70002
Guatemala,109849,3766,99753
Egypt,108530,6329,100006
Belarus,104286,1001,89555
Japan,103838,1794,95113
Armenia,101773,1506,61782
Hungary,99625,2250,23213
Honduras,99347,2736,42574
Ethiopia,98391,1508,57114
Jordan,95864,1069,8336
Venezuela,93921,819,88701
Lebanon,89186,683,45820
Bahrain,82786,328,80174
Moldova,79566,1866,59220
Slovakia,71088,317,16990
Bulgaria,68345,1518,22709
Uzbekistan,68139,579,65333
Libya,66444,915,38624
Tunisia,66334,1577,36727
Paraguay,65778,1462,45794
Ireland,64046,1933,23364
Nigeria,63508,1155,59748
Croatia,62305,717,46021
Kyrgyzstan,61309,1167,52343
Azerbaijan,60873,794,46465
Algeria,60169,2011,41244
Kenya,59595,1072,39193
Singapore,58047,28,57949
Myanmar,57935,1352,42178
Bosnia and Herzegovina,57506,1402,29689
Palestine,57226,511,49537
Serbia,55676,861,31536
Georgia,51993,423,37019
Denmark,51753,733,37756
Greece,49807,702,9989
Ghana,48788,320,47521
Slovenia,42658,497,18825
Afghanistan,41975,1554,34440
Malaysia,38189,279,26380
North Macedonia,36372,1084,22526
El Salvador,34966,1002,30941
Australia,27645,907,25428
S. Korea,27195,476,24821
Norway,23229,284,11863
Albania,22721,543,11696
Cameroon,22103,429,21151
Montenegro,21533,328,15115
Luxembourg,21147,177,11519
Ivory Coast,20789,126,20466
Lithuania,20747,192,5454
Finland,17385,362,12700
Madagascar,17111,244,16409
Zambia,16770,349,15827
Senegal,15676,326,15294
Sudan,13943,837,6764
Uganda,13568,117,7645
Mozambique,13391,97,11177
Namibia,13090,133,11438
Sri Lanka,12570,29,7186
Guinea,12363,73,10751
Angola,12102,299,5350
Maldives,11893,38,11010
DRC,11450,315,10786
Tajikistan,11219,83,10494
French Guiana,10620,70,9995
French Polynesia,9754,39,4842
Jamaica,9373,217,4745
Cabo Verde,9149,97,8289
Haiti,9109,232,7589
Gabon,9005,55,8846
Zimbabwe,8444,248,7975
Guadeloupe,7903,133,2242
Botswana,7835,27,5534
Mauritania,7777,165,7463
Latvia,7476,95,1444
Cuba,7184,129,6502
Malta,6893,73,4832
Bahamas,6882,150,4779
Syria,6040,305,2195
Réunion,6037,26,4884
Eswatini,5967,117,5694
Malawi,5940,184,5338
Trinidad and Tobago,5774,111,5024
Estonia,5705,73,4103
Djibouti,5599,61,5479
Nicaragua,5591,157,4225
Hong Kong,5362,107,5131
Congo,5348,92,3887
Cyprus,5333,27,1882
Suriname,5225,112,5097
Rwanda,5192,36,4940
Andorra,5135,75,3858
Equatorial Guinea,5092,85,4968
Iceland,5039,18,4286
CAR,4866,62,1924
Aruba,4564,39,4352
Mayotte,4550,45,2964
Guyana,4393,130,3409
Somalia,4229,107,3247
Martinique,4215,33,98
Belize,3977,66,2323
Thailand,3818,60,3639
Gambia,3681,120,3518
Mali,3633,137,2807
Uruguay,3309,61,2814
South Sudan,2943,59,1290
Benin,2745,43,2466
Burkina Faso,2550,67,2347
Togo,2442,57,1708
Guinea-Bissau,2414,42,1862
Sierra Leone,2371,74,1805
Yemen,2063,601,1375
New Zealand,1974,25,1905
Lesotho,1963,44,988
Chad,1529,99,1354
Liberia,1440,82,1305
Niger,1226,69,1142
Vietnam,1212,35,1070
San Marino,1043,42,754
Curaçao,1030,2,768
Sao Tome and Principe,958,16,909
Channel Islands,905,48,751
Sint Maarten,877,23,780
Gibraltar,770,NA,673
Liechtenstein,741,3,481
Diamond Princess,712,13,659
Turks and Caicos,705,6,691
Burundi,606,1,511
Saint Martin,604,12,522
Papua New Guinea,597,7,580
Taiwan,573,7,523
Comoros,557,7,525
Tanzania,509,21,183
Faeroe Islands,495,NA,490
Eritrea,484,NA,429
Mauritius,453,10,416
Monaco,430,2,318
Bhutan,358,NA,333
Isle of Man,357,24,324
Mongolia,356,NA,314
Cambodia,292,NA,286
Cayman Islands,244,1,233
Barbados,239,7,224
Bermuda,207,9,179
Seychelles,157,NA,151
Caribbean Netherlands,153,3,145
Brunei,148,3,144
Antigua and Barbuda,130,3,118
Saint Lucia,106,NA,32
St. Barth,90,NA,77
