region,cases,deaths,recovered
USA,32224139,578993,24770980
India,14287740,174335,12543978
Brazil,13758093,365954,12236295
France,5187879,100073,4008035
Russia,4675153,104398,4301448
UK,4380976,127191,4113338
Turkey,4086957,35031,3535040
Italy,3826156,115937,3200196
Spain,3396685,76882,3123268
Germany,3095016,80141,2736100
Poland,2642242,60612,2238638
Argentina,2629156,58925,2300232
Colombia,2602719,67199,2432061
Mexico,2295435,211213,1820959
Iran,2168872,65680,1749041
Ukraine,1903765,38658,1453766
Peru,1681063,56149,1602034
Czechia,1593847,28229,1483559
Indonesia,1589359,43073,1438254
South Africa,1562931,53571,1488060
Netherlands,1378145,16861,1150702
Chile,1101698,24766,1033189
Canada,1096716,23500,990074
Romania,1020301,25800,925395
Iraq,956860,14885,837336
Belgium,935316,23603,786258
Philippines,904285,15594,705164
Sweden,892480,13761,718242
Israel,836706,6314,827447
Portugal,829358,16933,787011
Pakistan,739818,15872,646652
Hungary,736982,24521,440498
Bangladesh,707362,10081,597214
Jordan,679138,8057,621870
Serbia,654870,5881,575771
Switzerland,630194,10498,564850
Austria,586883,9813,547604
Japan,516121,9500,473570
Lebanon,504800,6809,416624
Morocco,504260,8927,490366
UAE,491423,1545,475012
Saudi Arabia,402142,6791,386102
Bulgaria,382761,14979,300391
Slovakia,373950,10877,255300
Malaysia,367977,1363,349039
Panama,359830,6183,349718
Ecuador,355431,17489,298604
Belarus,340023,2393,330483
Greece,308006,9239,264324
Croatia,300900,6442,279151
Azerbaijan,294211,4045,257942
Georgia,292244,3908,279389
Bolivia,286114,12603,235495
Nepal,282054,3066,274604
Tunisia,279376,9553,231285
Kazakhstan,278695,3306,239448
Palestine,276407,2937,241343
Dominican Republic,259639,3405,217613
Kuwait,253066,1428,236384
Paraguay,244528,5110,200259
Moldova,244177,5493,227569
Ireland,242402,4820,222843
Denmark,240330,2449,229372
Ethiopia,236554,3285,175879
Lithuania,230462,3730,208890
Slovenia,229967,4142,212815
Costa Rica,227533,3065,196752
Egypt,213798,12611,161470
Guatemala,208694,7120,188695
Armenia,206142,3817,185125
Honduras,198975,4929,76214
Qatar,193952,357,171985
Bosnia and Herzegovina,187715,7702,144932
Venezuela,179365,1853,161820
Oman,176668,1821,156845
Libya,170558,2873,155712
Nigeria,164080,2061,154285
Bahrain,160934,574,149159
Uruguay,156499,1726,122637
Kenya,149219,2424,99580
North Macedonia,145001,4357,120707
Myanmar,142610,3206,131879
Albania,129128,2335,100013
Algeria,119142,3144,83048
Estonia,116200,1064,99096
S. Korea,112789,1790,103062
Latvia,109731,2030,101088
Norway,106224,707,88952
Sri Lanka,95949,608,92308
Montenegro,95042,1412,89965
Ghana,91545,766,89400
Kyrgyzstan,91144,1540,86491
Zambia,90532,1230,88283
Cuba,90408,491,85121
Uzbekistan,85730,634,83462
Finland,83253,885,46000
Mozambique,69002,794,61112
El Salvador,67099,2064,63471
Luxembourg,64549,785,60563
Cameroon,61731,919,56926
Singapore,60735,30,60417
Afghanistan,57612,2535,52083
Cyprus,53944,283,39061
Namibia,46185,596,44322
Ivory Coast,45444,273,44925
Botswana,44075,671,39493
Jamaica,43240,697,19369
Uganda,41263,338,40898
Senegal,39606,1085,38343
Thailand,37453,97,28383
Zimbabwe,37422,1550,34961
Malawi,33902,1134,31691
Sudan,31790,2208,25539
Madagascar,30207,527,24893
Malta,29833,403,28842
Australia,29483,910,26385
DRC,28769,745,25841
Maldives,25939,67,23242
Angola,23951,557,22175
Rwanda,23744,321,21805
Gabon,21566,132,18219
Guinea,21299,136,18815
