region,cases,deaths,recovered
USA,83066907,1020833,80684899
India,43079157,523803,42533377
Brazil,30448236,663551,29519204
France,28645285,145930,26801445
Germany,24761600,135900,22307900
UK,22038340,174912,21210408
Russia,18182354,375884,17539985
S. Korea,17275649,22875,N/A
Italy,16463200,163507,15070314
Turkey,15032093,98771,14927975
Spain,11896152,104456,11389694
Vietnam,10649809,43041,9262255
Argentina,9072230,128542,8895999
Netherlands,8047132,22243,7836980
Japan,7850252,29548,7402570
Iran,7221653,141083,6983502
Colombia,6092667,139797,5926476
Indonesia,6046796,156257,5882660
Poland,5996514,116059,5334680
Australia,5952153,7236,5553745
Mexico,5738769,324294,5038150
Ukraine,5001719,108391,N/A
Malaysia,4448004,35547,4366951
Thailand,4262484,28620,4092878
Austria,4140543,18156,4042540
Israel,4076111,10695,4042243
Belgium,4056448,31439,3804223
Czechia,3905101,40155,3845118
Portugal,3853800,22280,N/A
South Africa,3791925,100363,3648831
Canada,3749083,39243,3454966
Philippines,3685643,60341,3618137
Switzerland,3602489,13859,3471069
Peru,3564558,212810,N/A
Chile,3558631,57527,3413409
Greece,3323922,29153,3212923
Denmark,2966047,6158,2941752
Romania,2893876,65486,2606660
Sweden,2500917,18739,2469945
Iraq,2325092,25211,2297747
Serbia,2006353,15991,1975636
Bangladesh,1952691,29127,1895404
Hungary,1901017,46201,1804295
Slovakia,1780955,19905,1743292
Jordan,1694216,14048,1678941
Georgia,1655098,16807,1637037
Pakistan,1528478,30371,1494141
Ireland,1517112,7087,1452338
Norway,1426013,2932,N/A
Kazakhstan,1305533,13660,1291066
Hong Kong,1204210,9308,N/A
Singapore,1197908,1335,1132574
Morocco,1164953,16069,1148474
Bulgaria,1156729,36913,978145
Croatia,1122459,15828,1100854
Cuba,1102941,8526,1093508
Lebanon,1096955,10386,1081770
Lithuania,1058195,9094,1023749
Tunisia,1040193,28550,N/A
Finland,1023013,3939,46000
Slovenia,1010058,6592,990337
Belarus,980345,6947,928536
Nepal,978810,11951,966629
New Zealand,936697,707,883593
Bolivia,904883,21910,858053
UAE,898571,2302,881831
Uruguay,895775,7197,886654
Ecuador,869124,35588,N/A
Costa Rica,852074,8405,832853
Guatemala,845868,17566,825981
Latvia,822013,5760,808909
Azerbaijan,792562,9709,782761
Panama,776420,8184,762170
Saudi Arabia,754011,9088,741673
Sri Lanka,663362,16504,646125
Paraguay,649455,18870,624673
Kuwait,631409,2555,628090
Myanmar,612883,19434,591812
Palestine,581940,5353,576242
Dominican Republic,579248,4376,574601
Estonia,572193,2539,511039
