region,cases,deaths,recovered
USA,22190492,374988,13149475
India,10430330,150800,10053270
Brazil,7961673,200498,7096931
Russia,3355794,60911,2731129
UK,2957472,79833,1364821
France,2727321,66841,198756
Turkey,2307581,22450,2182145
Italy,2237890,77911,1589590
Spain,2050360,51874,N/A
Germany,1881377,39721,1494100
Colombia,1737347,45067,1580285
Argentina,1690006,44122,1484794
Mexico,1493569,131031,1127471
Poland,1365645,30574,1104599
Iran,1274514,56018,1058654
South Africa,1170590,31809,938216
Ukraine,1105169,19588,778345
Peru,1026690,38049,964354
Netherlands,858914,12171,N/A
Czechia,809601,12800,651814
Indonesia,808340,23753,666883
Romania,663799,16506,595007
Belgium,658655,19936,45744
Canada,641973,16649,543947
Chile,633381,16974,595799
Iraq,601424,12877,553025
Bangladesh,520690,7734,465279
Pakistan,497510,10558,453828
Sweden,489471,9433,N/A
Philippines,483852,9364,449330
Switzerland,477983,8219,317600
Israel,477357,3596,408753
Portugal,466709,7590,360181
Morocco,448678,7645,420569
Austria,376793,6641,349215
Saudi Arabia,363582,6282,355208
Serbia,356125,3513,31536
Hungary,337743,10440,186449
Jordan,305163,3989,285393
Panama,269091,4321,212656
Japan,265299,3857,213737
Nepal,264159,1909,257229
Georgia,236028,2728,224189
UAE,224704,697,201396
Azerbaijan,223417,2869,205406
Ecuador,219148,14165,190350
Croatia,217946,4304,207848
Lebanon,210139,1570,138839
Belarus,208601,1498,190966
Bulgaria,207259,8017,130191
Slovakia,201164,2788,141490
Dominican Republic,178538,2424,135934
Denmark,178497,1517,149346
Costa Rica,176407,2286,135475
Bolivia,168891,9304,136266
Armenia,161415,2908,147961
Kazakhstan,160650,2262,147512
Lithuania,156539,2119,87963
Kuwait,153473,940,148483
Tunisia,152254,5052,113415
Moldova,148669,3122,137416
Egypt,146809,8029,116775
Palestine,146074,1559,128900
Qatar,145466,246,142453
Greece,143494,5195,9989
Guatemala,141074,4928,129542
Slovenia,136629,2947,110925
Malaysia,131108,537,105431
Oman,130070,1505,122556
Myanmar,129483,2812,112876
Ireland,127657,2307,23364
Ethiopia,127227,1966,113021
Honduras,125118,3200,57348
Venezuela,115322,1052,109364
Bosnia and Herzegovina,114920,4285,80868
Paraguay,112856,2352,88724
Libya,104002,1568,79193
Algeria,101382,2792,68589
Kenya,97954,1703,80671
Nigeria,95934,1330,77982
Bahrain,94633,353,91630
North Macedonia,85594,2592,66760
Kyrgyzstan,81991,1365,77547
Uzbekistan,77485,616,75875
S. Korea,67358,1081,48369
Albania,62378,1230,36971
Singapore,58836,29,58580
Ghana,55461,336,54164
Norway,54061,472,46611
Afghanistan,53400,2264,43440
Montenegro,51596,718,41516
El Salvador,48255,1398,42902
Latvia,47782,801,34268
Luxembourg,47744,527,44482
Sri Lanka,47305,225,40317
Finland,38068,586,31000
Uganda,37296,300,12619
Estonia,32537,270,22124
Australia,28571,909,25817
Namibia,27255,245,23177
Cameroon,26848,448,24892
Cyprus,26208,140,2057
Zambia,25326,441,20349
Uruguay,23807,231,17098
Sudan,23316,1468,13524
Ivory Coast,23173,138,22301
Senegal,20672,446,18016
Mozambique,19961,176,17455
DRC,18969,611,14743
Zimbabwe,18675,446,12083
Angola,17974,413,11955
Madagascar,17767,262,17298
French Polynesia,17195,121,4842
Botswana,16050,48,12927
Mauritania,15214,378,13037
Maldives,13988,49,13238
Malta,13967,230,11690
Guinea,13904,81,13222
French Guiana,13825,73,9995
Cuba,13823,148,11531
Jamaica,13411,307,11323
Tajikistan,13305,90,13191
Cabo Verde,12146,113,11665
Syria,12084,755,5824
Belize,11152,267,10344
Eswatini,10773,268,7377
Haiti,10203,236,8725
Thailand,9841,67,5255
Gabon,9641,66,9453
Réunion,9247,42,8830
Rwanda,9225,113,6940
Hong Kong,9153,155,8307
Guadeloupe,8776,154,2242
Andorra,8348,84,7615
Bahamas,7959,175,6297
Burkina Faso,7713,89,5533
Malawi,7611,203,5791
Mali,7512,290,5224
Trinidad and Tobago,7210,127,6774
Congo,7127,108,5846
Suriname,6750,130,6080
Guyana,6469,167,5990
Nicaragua,6097,166,4225
Martinique,6091,43,98
Mayotte,6045,56,2964
Aruba,5883,50,5323
Iceland,5867,29,5704
Djibouti,5865,61,5772
Equatorial Guinea,5289,86,5154
Lesotho,5170,79,1564
