region,cases,deaths,recovered
USA,107300030,1168054,105442558
India,44994032,531903,44460523
France,40136348,167642,39940169
Germany,38428685,174352,38240600
Brazil,37671420,703964,36249161
Japan,33803572,74694,N/A
S. Korea,32131606,35017,31848662
Italy,25893101,190782,25587953
UK,24618436,226278,24392158
Russia,22959198,399563,22402524
Turkey,17232066,102174,N/A
Spain,13905048,121622,13740203
Australia,11690064,21612,11637174
Vietnam,11620389,43206,10640049
Taiwan,10239998,19005,10220993
Argentina,10056300,130514,9925280
Netherlands,8610372,22992,8587380
Mexico,7633355,334336,6885378
Iran,7612414,146292,7368688
Indonesia,6811945,161870,6641275
Poland,6517822,119624,5335940
Colombia,6369916,142780,6190683
Greece,6101379,37089,6059984
Austria,6081101,22539,6054797
Portugal,5592410,26885,5561425
Ukraine,5557995,112418,5445577
Chile,5288268,64497,5223709
Malaysia,5114717,37127,5061264
Israel,4828123,12557,4798473
Belgium,4801523,34372,4764735
DPRK,4772813,74,4772739
Thailand,4751563,34328,4692636
Canada,4688830,52860,4624644
Czechia,4642716,42810,4599609
Peru,4507896,220695,4287201
Switzerland,4406989,14452,4391486
Philippines,4163857,66484,4089596
South Africa,4076463,102595,3912506
Romania,3407485,68233,3337936
Denmark,3182249,8752,3173366
Hong Kong,2911141,13819,2887044
Sweden,2712104,24513,2686156
Serbia,2543720,18057,2524640
Singapore,2481404,1727,2149583
Iraq,2465545,25375,2439497
New Zealand,2413279,4510,2402490
Hungary,2203171,48881,2152155
Bangladesh,2041623,29457,1998448
Slovakia,1866857,21167,1845690
Georgia,1844789,17092,1776548
Jordan,1746997,14122,1731007
Ireland,1713613,9058,1703055
Pakistan,1581211,30661,1538689
Norway,1485627,5566,1479575
Finland,1481994,9921,1470790
Kazakhstan,1411831,13848,1383020
Slovenia,1344238,7100,1328006
Lithuania,1321365,9691,1311132
Bulgaria,1308991,38424,1268831
Morocco,1274180,16297,1256151
Croatia,1273991,18273,1255569
Guatemala,1259738,20205,1234638
Lebanon,1238552,10936,1087587
Costa Rica,1235156,9384,860711
Bolivia,1202776,22390,1171069
Tunisia,1153361,29423,N/A
Cuba,1114807,8530,1106151
UAE,1067030,2349,1054525
Ecuador,1062275,36019,1026256
Panama,1042631,8634,1032845
Uruguay,1038774,7634,1030944
Mongolia,1010034,2179,1007855
Nepal,1003361,12031,991322
Belarus,994037,7118,985592
Latvia,978157,6386,971406
Saudi Arabia,841469,9646,827923
Azerbaijan,831939,10282,821629
Paraguay,811307,19965,N/A
Bahrain,722432,1566,720800
Sri Lanka,672539,16879,655656
Kuwait,665967,2570,660237
Dominican Republic,661596,4384,644785
Cyprus,660854,1364,659490
Myanmar,639740,19494,618738
Palestine,621008,5404,615445
Moldova,620685,12124,504142
Estonia,619261,3001,524990
Venezuela,552695,5856,546537
Egypt,516023,24613,442182
Qatar,514524,690,513687
Libya,507266,6437,500827
Ethiopia,500920,7574,488153
Réunion,486588,921,418572
Honduras,472619,11116,N/A
Armenia,449222,8750,435162
Bosnia and Herzegovina,403041,16350,379084
Oman,399449,4628,384669
North Macedonia,348281,9677,337068
Zambia,347022,4062,341316
Kenya,343537,5689,337309
Albania,334726,3602,329428
Botswana,329985,2801,327049
Luxembourg,319959,1232,316690
Brunei,308777,225,243601
Montenegro,291928,2828,288639
Algeria,271852,6881,183060
Nigeria,266675,3155,259953
Zimbabwe,265413,5707,258888
Uzbekistan,253662,1637,241486
Mozambique,233417,2243,228805
Martinique,229975,1102,N/A
Afghanistan,223246,7928,202980
Laos,218449,758,N/A
Iceland,209191,229,N/A
Kyrgyzstan,206897,2991,196406
Guadeloupe,202836,1017,N/A
El Salvador,201785,4230,179410
Trinidad and Tobago,191496,4390,187078
Maldives,186683,316,163687
Ghana,171657,1462,170161
Namibia,171310,4091,167099
Uganda,170775,3632,100431
Jamaica,155224,3558,103001
Cambodia,138899,3056,135830
Rwanda,133194,1468,131647
Cameroon,125087,1974,122807
Malta,118977,841,117592
Barbados,107794,593,106971
Angola,105384,1934,103419
Channel Islands,101717,228,101321
French Guiana,98041,420,11254
DRC,97409,1468,84489
Senegal,89003,1971,87024
Malawi,88728,2686,85651
Ivory Coast,88331,835,87497
Suriname,82563,1406,N/A
New Caledonia,79922,314,79605
French Polynesia,78600,649,N/A
Eswatini,74882,1427,73116
Guyana,73364,1298,72013
Belize,70782,688,70085
Fiji,69072,885,67154
Madagascar,68289,1425,66862
Cabo Verde,64088,414,63588
Sudan,63993,5046,58741
Mauritania,63715,997,62471
Bhutan,62672,21,61564
Syria,57664,3165,54499
Burundi,54036,38,53569
Seychelles,50937,172,50750
Gabon,48992,307,48674
Andorra,48015,165,47563
Papua New Guinea,46864,670,43982
Curaçao,45986,295,44720
Aruba,44200,236,42438
Tanzania,43078,846,N/A
Mauritius,42642,1051,40904
Mayotte,42027,188,N/A
Togo,39504,290,39212
Guinea,38563,468,37757
Bahamas,38084,844,36366
Isle of Man,38008,116,N/A
Lesotho,34790,723,25980
Faeroe Islands,34658,28,N/A
Haiti,34301,860,33368
Mali,33151,743,32332
Cayman Islands,31472,37,8553
Saint Lucia,30052,409,29095
Benin,28014,163,27847
Somalia,27334,1361,13182
Micronesia,26459,65,N/A
Congo,25375,386,24006
Solomon Islands,24575,153,N/A
San Marino,24326,125,24196
Timor-Leste,23457,138,23102
Burkina Faso,22056,396,21596
Liechtenstein,21446,94,21352
Gibraltar,20550,113,16579
Grenada,19693,238,19358
Bermuda,18860,165,18685
Nicaragua,18491,225,4225
South Sudan,18368,138,18115
Tajikistan,17786,125,17264
Equatorial Guinea,17229,183,16907
Monaco,16826,67,15992
Tonga,16817,13,15638
Samoa,16763,31,1605
Marshall Islands,16098,17,16079
Dominica,15760,74,15673
Djibouti,15690,189,15427
CAR,15368,113,15200
Gambia,12626,372,12189
Saint Martin,12303,63,1399
Vanuatu,12019,14,11976
Greenland,11971,21,2761
Yemen,11945,2159,9124
Caribbean Netherlands,11682,38,10476
Macao,11618,123,3487
Sint Maarten,11051,92,10905
Eritrea,10189,103,10086
Niger,9931,312,8890
St. Vincent Grenadines,9631,124,9493
Guinea-Bissau,9614,177,8929
Comoros,9109,161,8939
Antigua and Barbuda,9106,146,8954
Liberia,8090,295,7783
Sierra Leone,7762,126,N/A
Chad,7701,194,4874
British Virgin Islands,7305,64,N/A
Cook Islands,7142,2,7138
