region,cases,deaths,recovered
USA,17143942,311073,10007956
India,9932908,144130,9456449
Brazil,6974258,182854,6067862
Russia,2734454,48564,2176100
France,2391447,59072,179087
Turkey,1898447,16881,1661191
UK,1888116,64908,N/A
Italy,1870576,65857,1137416
Spain,1771488,48401,N/A
Argentina,1510203,41204,1344300
Colombia,1444646,39356,1328430
Germany,1378518,23692,1003300
Mexico,1267202,115099,938089
Poland,1159901,23914,892650
Iran,1123474,52670,833276
Peru,987675,36817,922314
Ukraine,919704,15744,535417
South Africa,873679,23661,764977
Indonesia,636154,19248,521984
Netherlands,628577,10168,N/A
Belgium,611422,18178,41973
Czechia,594148,9882,516786
Iraq,577363,12614,511639
Chile,575329,15949,548190
Romania,565758,13698,465050
Bangladesh,494209,7129,426729
Canada,475214,13659,385975
Philippines,452988,8833,419282
Pakistan,445977,9010,388598
Morocco,403619,6711,362911
Switzerland,388828,6266,311500
Israel,362953,3022,340044
Saudi Arabia,360155,6069,350993
Portugal,353576,5733,280038
Sweden,341029,7667,N/A
Austria,330343,4764,291042
Hungary,288567,7381,83940
Serbia,277248,2433,31536
Jordan,265024,3437,226245
Nepal,250180,1730,238569
Ecuador,202356,13896,177951
Georgia,198387,1922,167281
Panama,196987,3411,164855
UAE,187267,622,165023
Bulgaria,184287,6005,87935
Azerbaijan,183259,2007,119005
Japan,181870,2643,153519
Croatia,179718,2778,155079
Belarus,164059,1282,141443
Dominican Republic,155797,2367,121323
Costa Rica,154096,1956,121031
Armenia,150218,2556,128694
Lebanon,148877,1223,104207
Bolivia,147716,9026,126720
Kuwait,146710,913,142599
Kazakhstan,143735,2147,128218
Qatar,141272,241,138919
Slovakia,139088,1309,101584
Guatemala,130082,4476,118793
Moldova,128656,2625,111314
Oman,126835,1480,118736
Greece,126372,3785,9989
Egypt,122609,6966,105450
Ethiopia,117542,1813,96307
Denmark,116087,961,82099
Honduras,114943,3001,52392
Palestine,113409,1023,88967
Tunisia,113241,3956,86801
Myanmar,110667,2319,89418
Venezuela,108480,965,103271
Bosnia and Herzegovina,102330,3457,67649
Lithuania,99869,907,43379
Slovenia,98281,2149,75017
Paraguay,95353,1991,67953
Algeria,93065,2623,61307
Kenya,92459,1604,73979
Libya,92017,1319,62144
Bahrain,89444,348,87490
Malaysia,86618,422,71681
Kyrgyzstan,78151,1317,71270
Ireland,76776,2134,23364
Uzbekistan,75396,612,72661
North Macedonia,74732,2169,50852
Nigeria,74132,1200,66494
Singapore,58353,29,58233
Ghana,53270,327,51965
Albania,50000,1028,25876
Afghanistan,49970,2017,38648
S. Korea,45442,612,32947
El Salvador,42397,1219,38481
Luxembourg,42250,418,33486
Montenegro,42148,597,32097
Norway,41852,395,34782
Sri Lanka,34121,154,24867
Finland,31459,466,20000
Uganda,28168,225,10005
Australia,28056,908,25690
Latvia,26472,357,17477
Cameroon,25359,445,23851
Sudan,21864,1372,12667
Ivory Coast,21775,133,21335
Estonia,19271,160,12117
Zambia,18428,368,17487
Madagascar,17587,259,16992
Senegal,17216,350,16243
Mozambique,17042,144,15117
Namibia,16913,164,14981
Angola,16362,372,8990
French Polynesia,15870,97,4842
Cyprus,15789,84,2057
DRC,14597,358,12773
Guinea,13457,80,12713
Maldives,13392,48,12760
Botswana,12873,38,10456
Tajikistan,12777,88,12212
French Guiana,11906,71,9995
Jamaica,11875,276,8212
Zimbabwe,11522,310,9599
Mauritania,11431,236,8248
Cabo Verde,11395,110,11055
Malta,11303,177,9420
Uruguay,10418,98,6895
Haiti,9597,234,8280
Cuba,9588,137,8592
Belize,9511,211,4514
Syria,9452,543,4494
Gabon,9351,63,9204
Réunion,8534,42,8037
Guadeloupe,8524,154,2242
Hong Kong,7804,123,6439
Bahamas,7698,164,6081
Andorra,7382,79,6706
Eswatini,6912,132,6476
Trinidad and Tobago,6900,123,6204
Rwanda,6832,57,6036
Congo,6200,100,4988
Malawi,6080,187,5659
Guyana,5973,156,5144
Nicaragua,5887,162,4225
Mali,5878,205,3697
Djibouti,5749,61,5628
Mayotte,5616,53,2964
Martinique,5575,42,98
Iceland,5571,28,5401
Suriname,5381,117,5231
Equatorial Guinea,5195,85,5061
Aruba,5079,46,4911
CAR,4936,63,1924
Somalia,4579,121,3529
Burkina Faso,4300,73,2940
Thailand,4261,60,3977
Gambia,3785,123,3653
