region,cases,deaths,recovered
USA,33369192,594006,26105411
India,21485285,234071,17597410
Brazil,15009023,417176,13591335
France,5728090,105850,4786754
Turkey,4977982,42187,4626799
Russia,4855128,112246,4472338
UK,4428553,127583,4240475
Italy,4082198,122263,3557133
Spain,3559222,78726,3239382
Germany,3486462,84811,3107300
Argentina,3095582,66263,2757230
Colombia,2951101,76414,2773220
Poland,2818378,68993,2546751
Iran,2610018,73906,2057692
Mexico,2358831,218173,1879713
Ukraine,2097024,45451,1711709
Peru,1824457,62976,1720665
Indonesia,1697305,46496,1552532
Czechia,1641120,29521,1569862
South Africa,1590370,54620,1511905
Netherlands,1538589,17269,1295738
Canada,1265320,24489,1159506
Chile,1229248,26895,1166227
Iraq,1098187,15673,986134
Philippines,1080172,17991,999011
Romania,1062527,28710,1005623
Belgium,1003746,24406,878558
Sweden,1002121,14158,827604
Pakistan,845833,18537,743124
Israel,838828,6374,831331
Portugal,838475,16988,798952
Hungary,787647,28297,546246
Bangladesh,769160,11796,702163
Jordan,717930,9014,698201
Serbia,697241,6499,653821
Switzerland,669067,10695,599677
Austria,627484,10333,597922
Japan,616123,10517,542569
Lebanon,531234,7415,475383
UAE,530944,1604,511340
Morocco,513016,9049,499917
Malaysia,427927,1610,392555
Saudi Arabia,423406,7032,406589
Bulgaria,408372,16800,345489
Ecuador,395327,19018,329582
Slovakia,384660,11920,366230
Nepal,368580,3529,292490
Panama,366364,6255,356144
Belarus,364951,2602,355531
Greece,355445,10847,320966
Croatia,341052,7355,321755
Kazakhstan,334812,3833,288187
Azerbaijan,324685,4635,301006
Georgia,317719,4227,297676
Tunisia,317010,11208,272505
Bolivia,314190,13151,258068
Palestine,300387,3326,281586
Paraguay,291540,6883,241040
Kuwait,281772,1621,265530
Dominican Republic,269184,3514,230033
Costa Rica,263094,3341,211043
Ethiopia,260802,3822,205458
Denmark,256482,2493,243718
Lithuania,254091,4000,228696
Moldova,252153,5912,242363
Ireland,251474,4921,233986
Slovenia,244556,4282,230602
Egypt,234015,13714,175117
Guatemala,232439,7677,210369
Armenia,218325,4192,202273
Honduras,217595,5502,80583
Uruguay,213449,2972,184506
Qatar,209470,493,198227
Venezuela,204057,2244,186388
Bosnia and Herzegovina,200353,8762,163445
Oman,199344,2083,181696
Bahrain,184697,670,172006
Libya,179193,3059,165504
Nigeria,165301,2065,155424
Kenya,162098,2850,110480
North Macedonia,153461,5042,136545
Myanmar,142874,3210,131999
Albania,131510,2406,114362
S. Korea,126044,1860,116022
Estonia,124147,1187,114618
Algeria,123473,3307,86007
Latvia,121509,2178,110904
Sri Lanka,119424,745,100885
Norway,115411,767,88952
