region,cases,deaths,recovered
USA,81831520,1008181,65606263
India,43028863,521388,42493773
Brazil,29999437,660192,28784928
France,25997852,142506,23390522
Germany,21646375,130563,16972700
UK,21216874,165570,19075703
Russia,17896866,369708,16965027
Turkey,14894731,98157,14570521
Italy,14845815,159784,13402015
S. Korea,13874216,17235,N/A
Spain,11551574,102541,10918903
Vietnam,9818328,42600,7787962
Argentina,9041124,128065,8867907
Netherlands,7910315,22013,6551189
Iran,7167646,140315,6886942
Japan,6653841,28248,6164792
Colombia,6085926,139660,5919072
Indonesia,6019981,155288,5768703
Poland,5969621,115345,5333558
Mexico,5665376,323212,4963000
Ukraine,4968881,107980,N/A
Australia,4680816,6384,4170493
Malaysia,4246467,35099,4018421
Israel,3943153,10530,3846922
Austria,3887355,15985,3572230
Belgium,3851048,30826,3540753
Czechia,3830621,39715,3733697
South Africa,3722954,100050,3611123
Thailand,3711595,25418,3427054
Philippines,3679629,59343,3584319
Portugal,3604114,21693,N/A
Peru,3548088,212299,N/A
Canada,3499226,37690,3295953
Switzerland,3490876,13715,2850404
Chile,3486653,56750,3090745
Greece,3077711,27684,2811268
Denmark,2919428,5762,2855172
Romania,2860094,65090,2606660
Sweden,2487852,18331,2437546
Iraq,2320260,25173,2284245
Serbia,1980722,15825,1931773
Bangladesh,1951770,29122,1883510
Hungary,1854198,45510,1709370
Slovakia,1725487,19417,1615277
Jordan,1689314,14003,1668852
Georgia,1649222,16756,1627958
Pakistan,1525466,30361,1486113
Ireland,1465150,6786,1304319
Norway,1408257,2518,N/A
Kazakhstan,1305188,13660,1289965
Hong Kong,1171422,8172,N/A
Morocco,1163526,16060,1146704
Bulgaria,1140679,36568,926649
Singapore,1109744,1276,1031320
Croatia,1102730,15601,1078183
Lebanon,1092995,10315,1064061
Cuba,1092547,8514,1080374
Tunisia,1035884,28323,N/A
Lithuania,1030949,8907,965326
Nepal,978475,11951,965625
Slovenia,973876,6501,930588
Belarus,965322,6844,928536
Bolivia,902448,21896,841533
UAE,892170,2302,869993
Finland,889626,3178,46000
Uruguay,889513,7166,877114
Ecuador,859890,35421,N/A
Costa Rica,839368,8308,815710
Guatemala,830745,17325,804950
Latvia,802534,5643,765542
Azerbaijan,792061,9697,782023
Panama,765054,8170,754470
Saudi Arabia,751076,9048,735105
New Zealand,693219,350,597791
Sri Lanka,661991,16481,637292
Paraguay,648353,18731,624673
Kuwait,629525,2554,625298
Myanmar,611875,19433,589991
Palestine,581236,5351,575095
Dominican Republic,578130,4375,573590
Estonia,558706,2468,486425
Bahrain,556241,1471,548777
Venezuela,520708,5685,513432
Moldova,514199,11446,500082
Egypt,505264,24417,434503
Libya,501738,6419,490052
Ethiopia,469819,7504,447542
Mongolia,468610,2177,313256
Cyprus,439964,947,124370
