region,cases,deaths,recovered
USA,9399568,236057,6057563
India,8182881,122149,7489203
Brazil,5535460,159883,4966264
Russia,1618116,27990,1215414
France,1367625,36788,117658
Spain,1264517,35878,N/A
Argentina,1157179,30792,961101
Colombia,1074184,31314,969230
UK,1011660,46555,N/A
Mexico,918811,91289,673457
Peru,902503,34476,825197
South Africa,725452,19276,654182
Italy,679430,38618,289426
Iran,612772,34864,481930
Germany,531790,10583,345700
Chile,510256,14207,486642
Iraq,472630,10910,399655
Belgium,412314,11452,24906
Indonesia,410088,13869,337801
Bangladesh,407684,5923,324145
Ukraine,387481,7196,158928
Philippines,380729,7221,331046
Turkey,375367,10252,323971
Poland,362731,5631,140280
Netherlands,351178,7395,N/A
Saudi Arabia,347282,5402,333842
Pakistan,332993,6806,314066
Czechia,330445,3197,137950
Israel,314422,2539,301241
Romania,241339,6968,172513
Canada,234433,10136,195795
Morocco,219084,3695,181275
Nepal,170743,937,131222
Ecuador,168192,12670,141759
Switzerland,154251,2286,65200
Bolivia,141631,8715,111178
Portugal,141279,2507,80280
Panama,132867,2688,109369
UAE,132629,495,128902
Qatar,132556,232,129583
Dominican Republic,127018,2245,104862
Kuwait,125926,779,116862
Sweden,124355,5938,N/A
Oman,114434,1208,103060
Kazakhstan,111953,1825,106310
Costa Rica,109971,1385,66719
Guatemala,107939,3729,97289
Egypt,107555,6266,99452
Austria,104925,1109,67226
Japan,100392,1755,92475
Belarus,98482,980,86663
Honduras,96888,2669,40129
Ethiopia,96169,1469,52517
Venezuela,91589,793,86335
Armenia,89813,1341,55317
Bahrain,81466,320,78365
Lebanon,81228,637,41624
Moldova,76040,1785,55782
Hungary,75321,1750,19032
Jordan,72607,829,7600
Uzbekistan,66932,566,64235
Nigeria,62691,1144,58430
Paraguay,62596,1387,42337
Ireland,61456,1913,23364
Libya,61095,857,35030
Tunisia,59813,1317,5032
Kyrgyzstan,58878,1144,49983
Singapore,58015,28,57913
Algeria,57942,1964,40201
Slovakia,57664,219,12617
Azerbaijan,55269,730,43543
Kenya,55192,981,35876
Palestine,53520,483,46309
Myanmar,52706,1237,32774
Bulgaria,51041,1254,19877
Bosnia and Herzegovina,50090,1234,28083
Croatia,49316,546,32818
Ghana,48055,320,47169
Serbia,46954,820,31536
Denmark,46351,721,34523
Afghanistan,41425,1536,34321
Greece,39251,626,9989
Georgia,38936,307,22691
Slovenia,34307,338,12091
El Salvador,33445,975,29186
North Macedonia,31572,994,20731
Malaysia,31548,249,21248
Australia,27590,907,25324
S. Korea,26511,464,24311
Cameroon,21793,426,20117
Albania,20875,509,11189
Ivory Coast,20716,126,20365
Norway,20214,282,11863
Montenegro,18341,301,14084
Luxembourg,17933,157,10081
Madagascar,16968,244,16301
Zambia,16432,349,15680
Finland,16113,358,11300
Senegal,15616,324,14853
Lithuania,14824,165,4872
Sudan,13804,837,6764
Namibia,12935,133,11036
Mozambique,12869,92,10437
Uganda,12410,110,7503
Guinea,12072,72,10550
Maldives,11659,38,10814
DRC,11306,307,10585
Tajikistan,11017,82,10233
Angola,10805,284,4523
Sri Lanka,10663,20,4399
French Guiana,10536,70,9995
Jamaica,9094,206,4510
Haiti,9057,232,7429
Gabon,8968,55,8698
Cabo Verde,8793,95,7981
Zimbabwe,8367,243,7894
Mauritania,7703,163,7433
Guadeloupe,7605,126,2242
French Polynesia,7262,29,4842
Cuba,6887,128,6245
Bahamas,6644,142,4257
Botswana,6642,24,4676
Malta,6042,62,4155
Malawi,5930,184,5323
Eswatini,5917,117,5646
Latvia,5894,71,1406
Syria,5728,288,1976
Trinidad and Tobago,5692,108,4610
Réunion,5659,24,4884
Djibouti,5561,61,5441
Nicaragua,5514,156,4225
Hong Kong,5324,105,5089
Congo,5290,92,3887
Suriname,5201,111,5057
Rwanda,5137,35,4879
Equatorial Guinea,5088,83,4965
Estonia,4905,73,3811
CAR,4866,62,1924
Iceland,4865,13,3873
Andorra,4665,75,3377
Aruba,4494,37,4286
Mayotte,4366,44,2964
Cyprus,4366,26,1882
