region,cases,deaths,recovered
USA,43532306,702978,33033525
India,33594803,446399,32848273
Brazil,21308178,593018,20319520
UK,7565867,135803,6104818
Russia,7354995,201445,6558780
France,6977722,116371,6709671
Turkey,6960297,62524,6432743
Iran,5493591,118508,4872865
Argentina,5246998,114772,5105252
Colombia,4946811,126032,4786487
Spain,4943855,86185,4700300
Italy,4649906,130551,4414272
Indonesia,4201559,141114,4012448
Germany,4185633,93847,3943200
Mexico,3608976,274139,2961363
Poland,2900862,75537,2660036
South Africa,2892081,86655,2753334
Philippines,2434753,37405,2231558
Ukraine,2379483,55424,2240388
Peru,2170475,199156,N/A
Malaysia,2156678,24681,1933713
Netherlands,1991628,18144,1905452
Iraq,1987352,21993,1882596
Czechia,1688457,30451,1651812
Japan,1683965,17319,1612984
Chile,1649409,37410,1605568
Canada,1594200,27581,1521645
Bangladesh,1548320,27337,1507789
Thailand,1537310,16016,1393902
Israel,1254351,7611,1180403
Pakistan,1234828,27482,1146394
Belgium,1231523,25543,1143078
Romania,1172981,35964,1090380
Sweden,1148641,14772,1105849
Portugal,1064876,17938,1014772
Morocco,925507,14076,893272
Serbia,893023,7926,769038
Kazakhstan,872596,10953,805346
Cuba,832286,7048,785804
Switzerland,831880,11043,750983
Hungary,820078,30151,781794
Jordan,817487,10645,794569
Nepal,788769,11072,756954
UAE,733972,2083,726035
Austria,730403,10943,698042
Vietnam,728435,18017,493488
Tunisia,703059,24676,671866
Greece,641022,14606,599263
Lebanon,620552,8260,585669
Georgia,603763,8749,572353
Saudi Arabia,546792,8684,535783
Guatemala,542024,13241,494370
Belarus,524248,4054,508936
Costa Rica,518632,6168,418345
Sri Lanka,510040,12448,451742
Ecuador,507020,32666,443880
Bolivia,498331,18688,455068
Bulgaria,489423,20350,427321
Azerbaijan,477587,6394,444053
Panama,465471,7192,454721
Paraguay,459751,16139,442375
Myanmar,453407,17343,406175
Kuwait,411358,2443,408224
Slovakia,405931,12592,384790
Croatia,396470,8554,379301
Palestine,392452,3980,358706
Uruguay,388191,6049,380619
Ireland,380720,5209,332046
Honduras,362281,9661,108832
Venezuela,359633,4363,343068
Dominican Republic,356321,4031,347511
Denmark,355944,2638,348523
Ethiopia,338306,5291,305223
Libya,335055,4569,252463
Lithuania,322720,4885,297096
Oman,303551,4093,295168
Egypt,299710,17074,252471
S. Korea,295132,2434,264492
Mongolia,289929,1171,278372
Slovenia,287278,4521,269013
Moldova,286536,6649,270640
Bahrain,274614,1389,272471
Armenia,256554,5216,238527
Kenya,247675,5045,238884
Qatar,236016,604,233901
Bosnia and Herzegovina,230212,10379,192218
Zambia,208715,3641,204442
Nigeria,203514,2668,191942
Algeria,202283,5748,138501
North Macedonia,188635,6539,169946
Norway,185330,850,88952
Kyrgyzstan,178123,2597,172657
Botswana,176427,2360,172051
Uzbekistan,171080,1212,165282
Albania,165864,2609,150998
Afghanistan,154960,7198,123497
Latvia,152693,2669,143294
Estonia,152429,1343,141447
Mozambique,150370,1907,146155
Finland,138068,1062,46000
Zimbabwe,129134,4600,121841
Montenegro,128377,1879,118397
Namibia,127071,3488,122539
Ghana,126146,1139,120992
Uganda,122591,3137,95957
Cyprus,117759,551,90755
Cambodia,107441,2197,99628
El Salvador,102024,3164,84981
Rwanda,96337,1233,45444
Australia,93942,1208,71608
Cameroon,85414,1368,80433
Maldives,84103,229,82208
Singapore,82860,70,72411
Jamaica,81394,1809,51544
Luxembourg,77688,835,75684
Senegal,73706,1853,70968
Malawi,61453,2269,53527
Ivory Coast,59558,586,57111
DRC,56463,1068,30858
Angola,53840,1460,46679
Réunion,53241,363,52010
Guadeloupe,53140,690,2250
Fiji,50447,583,36460
Trinidad and Tobago,49442,1437,43796
Eswatini,45633,1209,43586
Madagascar,42898,958,41322
Martinique,40545,582,104
French Polynesia,40178,608,33500
French Guiana,39491,253,9995
Suriname,39140,828,26838
Sudan,38182,2894,32038
Cabo Verde,37290,333,36219
Malta,37048,456,35708
Mauritania,35717,768,34032
Syria,31741,2172,23298
Guyana,30444,744,25848
Guinea,30318,376,28636
Gabon,28726,178,26443
Togo,24986,216,21483
Haiti,21486,607,19284
Benin,21450,146,17294
Seychelles,21257,115,20657
Laos,21080,16,5568
Bahamas,20288,512,18012
Mayotte,20205,177,2964
Somalia,19583,1099,9345
Belize,19429,399,17209
Papua New Guinea,19278,225,18254
Timor-Leste,19264,109,17972
Tajikistan,17084,124,16960
Burundi,16356,38,773
Curaçao,16254,158,15605
Taiwan,16176,841,15172
Aruba,15351,160,14927
Andorra,15156,130,14962
Mali,15123,547,14243
Mauritius,14863,60,1854
Lesotho,14395,403,6830
Burkina Faso,14092,178,13778
Congo,14014,191,12421
Nicaragua,13730,203,4225
Djibouti,12253,162,11838
Hong Kong,12170,213,11887
South Sudan,11899,128,11375
Equatorial Guinea,11806,142,10225
Iceland,11594,33,11215
Channel Islands,11427,97,10996
CAR,11340,100,6859
Saint Lucia,10961,181,8599
Gambia,9911,335,9548
Yemen,8830,1664,5456
Isle of Man,7300,51,6790
Barbados,7065,63,6106
Eritrea,6680,41,6625
Sierra Leone,6393,121,4377
Guinea-Bissau,6094,133,5270
Niger,5973,201,5717
Liberia,5915,283,5458
New Caledonia,5805,62,58
Brunei,5586,31,3770
Gibraltar,5497,97,5330
San Marino,5419,90,5269
Chad,5031,174,4845
Bermuda,4800,45,3208
Grenada,4638,98,2406
Sint Maarten,4178,61,3952
New Zealand,4144,27,3861
