region,cases,deaths,recovered
USA,109874978,1189374,107695542
India,45003830,533309,N/A
France,40138560,167642,39970918
Germany,38710586,179153,38240600
Brazil,38106633,708021,36249161
S. Korea,34571873,35934,34535939
Japan,33803572,74694,N/A
Italy,26475343,193742,26068983
UK,24812582,232112,24580470
Russia,23537803,400864,22865282
Turkey,17232066,102174,N/A
Spain,13914811,121760,13762417
Australia,11723429,23671,N/A
Vietnam,11624114,43206,10640971
Taiwan,10241523,19005,10222518
Argentina,10080046,130685,9949361
Netherlands,8620051,22992,8597059
Mexico,7649199,334472,6899865
Iran,7624699,146724,N/A
Indonesia,6814484,161921,6647104
Poland,6608707,120017,N/A
Colombia,6386157,143100,6206196
Greece,6101379,37869,N/A
Austria,6081287,22542,6054934
Portugal,5631629,27702,5603927
Ukraine,5557995,112418,5445577
Chile,5319739,64497,5252450
Malaysia,5147359,37202,5094830
Canada,4843627,56534,4744105
Israel,4841772,12707,4798473
Belgium,4835214,34376,4795545
DPRK,4772813,74,4772739
Thailand,4760712,34501,4692636
Czechia,4729433,43211,4662403
Peru,4524326,222161,4302165
Switzerland,4432537,14452,4411111
Philippines,4128961,66795,4057832
South Africa,4076463,102595,3912506
Romania,3505080,68653,3435256
Denmark,3183756,8814,3174942
Hong Kong,2924555,14364,2909310
Singapore,2771072,1933,2741681
Sweden,2738868,26018,2705422
Serbia,2601133,18057,2569079
New Zealand,2526109,5179,2515522
Iraq,2465545,25375,2439497
Hungary,2217132,48881,2152155
Bangladesh,2046133,29477,N/A
Slovakia,1869657,21167,1847863
Georgia,1855289,17132,N/A
Jordan,1746997,14122,1731007
Ireland,1725890,9370,1715656
Pakistan,1581936,30664,1538689
Finland,1508603,11140,1492139
Norway,1493079,5732,1483727
Kazakhstan,1411831,13848,1383020
Lithuania,1376752,9820,1344802
Slovenia,1353278,7100,1344049
Bulgaria,1331239,38656,1289042
Guatemala,1280212,20269,1259444
Croatia,1279927,18518,1258432
Morocco,1277956,16298,N/A
Lebanon,1243838,10952,1087587
Costa Rica,1238883,9428,N/A
Bolivia,1210122,22407,1177145
Tunisia,1153361,29423,N/A
Cuba,1115169,8530,1106575
Ecuador,1070121,36043,1034078
UAE,1067030,2349,N/A
Panama,1049089,8666,1040268
Uruguay,1040976,7664,1030944
Mongolia,1011353,2284,1009035
Nepal,1003450,12031,991322
Belarus,994037,7118,985592
Latvia,980813,6523,971406
Saudi Arabia,841469,9646,N/A
Azerbaijan,834189,10377,823770
Paraguay,819221,20040,N/A
Bahrain,729549,1574,727915
Sri Lanka,672659,16888,655741
Dominican Republic,670627,4384,666104
Kuwait,666551,2570,N/A
Cyprus,660854,1364,659490
Myanmar,641386,19495,620159
Moldova,627458,12154,N/A
Estonia,624185,3001,N/A
Palestine,621008,5404,615445
Venezuela,552695,5856,546537
Egypt,516023,24613,442182
Qatar,514524,690,513687
Libya,507274,6437,500835
Ethiopia,501117,7574,488171
Réunion,494595,921,N/A
Honduras,474590,11165,N/A
Armenia,451107,8774,435162
Bosnia and Herzegovina,403355,16369,379084
Oman,399449,4628,N/A
Luxembourg,386030,1232,N/A
North Macedonia,349868,9958,337068
Zambia,349298,4069,341316
Kenya,344130,5689,337309
Albania,334726,3602,329428
Botswana,330397,2801,327049
Brunei,317587,225,243601
Montenegro,294899,2834,291794
Algeria,271997,6881,183061
Nigeria,267163,3155,259953
Zimbabwe,265927,5727,258888
Uzbekistan,253662,1637,241486
Mozambique,233676,2250,228805
Martinique,230354,1102,N/A
Afghanistan,229829,7968,208956
Laos,218901,758,N/A
Iceland,209328,229,N/A
Kyrgyzstan,206897,2991,196406
Guadeloupe,203235,1021,N/A
El Salvador,201833,4230,179410
Trinidad and Tobago,191496,4390,187078
Maldives,186694,316,163687
Namibia,172170,4102,167099
Uganda,171983,3632,100431
Ghana,171884,1462,170417
Jamaica,156551,3664,N/A
Cambodia,138977,3056,135904
Rwanda,133518,1468,132039
Cameroon,125228,1974,123237
Malta,120834,866,119550
Barbados,110235,641,108647
Angola,106002,1936,103419
Channel Islands,101717,228,101321
DRC,99226,1468,84489
French Guiana,98041,420,11254
Malawi,89089,2686,N/A
Senegal,89025,1971,87024
Ivory Coast,88354,835,87497
Suriname,82588,1408,N/A
New Caledonia,80064,314,N/A
French Polynesia,78700,649,N/A
Eswatini,75166,1427,73116
Guyana,73673,1299,72013
Belize,71373,688,N/A
Fiji,69117,885,67226
Madagascar,68386,1426,66862
Cabo Verde,64477,417,63755
Sudan,63993,5046,58947
Mauritania,63777,997,62471
Bhutan,62697,21,61564
Syria,57743,3165,54578
Burundi,54721,38,53569
Seychelles,51058,172,50886
Gabon,49046,307,48674
Andorra,48015,165,N/A
Papua New Guinea,46864,670,46168
Curaçao,45986,295,44720
Aruba,44224,292,42438
Tanzania,43087,846,N/A
Mauritius,43025,1051,41278
Mayotte,42027,188,N/A
Togo,39531,290,39216
Guinea,38569,468,37757
Bahamas,38084,844,36366
