region,cases,deaths,recovered
USA,81125150,992026,55631869
India,42985957,515759,42426328
Brazil,29305114,654556,27556598
France,23381279,140029,22087946
UK,19530485,162738,18229317
Russia,17242043,359585,15194927
Germany,16814655,125838,13153300
Turkey,14513774,96217,14065761
Italy,13268459,156649,12135331
Spain,11223974,101135,10294394
Argentina,8961595,127009,8758109
Iran,7117544,138711,6768271
Netherlands,7055814,21688,5414900
Colombia,6074874,139220,5905559
Indonesia,5864010,151703,5335846
S. Korea,5822626,9875,N/A
Poland,5799996,113307,5169557
Japan,5609096,25697,4971301
Mexico,5591871,320607,4880174
Vietnam,5260495,41157,2908365
Ukraine,4888473,106899,N/A
Malaysia,3774786,33643,3418443
Israel,3707477,10359,3652205
South Africa,3691962,99709,3572534
Czechia,3670380,39100,3554779
Philippines,3669523,57317,3565090
Belgium,3629671,30380,3333536
Australia,3535620,5551,3250184
Peru,3531075,211364,N/A
Portugal,3380263,21285,2876177
Canada,3356191,37232,3206823
Chile,3269062,43659,2424006
Thailand,3136649,23578,2890076
Austria,3071402,15163,2697610
Switzerland,3058800,13366,2474544
Denmark,2796420,5076,2580989
Romania,2787625,64276,2606660
Greece,2604626,26473,2378977
Sweden,2466577,17765,2372096
Iraq,2311926,25094,2263685
Bangladesh,1949055,29105,1857648
Serbia,1937183,15552,1872063
Hungary,1814362,44653,1650643
Jordan,1654677,13882,1572386
Georgia,1633443,16505,1581376
Slovakia,1556433,18847,1402729
Pakistan,1517512,30298,1469405
Ireland,1341826,6611,1223949
Norway,1341163,1753,88952
Kazakhstan,1304220,13642,1279441
Morocco,1161980,16034,1144938
Bulgaria,1109581,36028,871306
Lebanon,1083351,10193,982902
Cuba,1075616,8503,1064627
Croatia,1070855,15308,1045532
Tunisia,1018447,28009,978788
Nepal,977848,11950,960686
Lithuania,956180,8607,871258
Belarus,937583,6633,928536
Singapore,917103,1129,859317
Slovenia,914427,6396,883017
Bolivia,896744,21472,804502
UAE,884736,2302,847788
Uruguay,860663,7075,842254
Ecuador,843760,35316,N/A
Costa Rica,821813,8149,717893
Guatemala,800403,17127,753773
Azerbaijan,790378,9589,778543
Panama,758923,8128,747729
Saudi Arabia,748489,9016,730038
Finland,734262,2653,46000
Latvia,733084,5411,618849
Sri Lanka,655383,16381,618697
Paraguay,645383,18517,618202
Kuwait,624922,2549,617634
Hong Kong,617419,3150,13232
Myanmar,604219,19403,555290
Palestine,579348,5305,568547
Dominican Republic,576367,4374,571656
Bahrain,535065,1462,518158
Estonia,527913,2337,423051
Venezuela,517720,5655,508691
Moldova,507028,11333,488198
Libya,499767,6336,481778
Egypt,494519,24269,424098
Ethiopia,469153,7484,421433
Mongolia,466642,2177,313256
Armenia,421842,8568,407933
Honduras,414714,10812,129792
Oman,386003,4250,377476
Bosnia and Herzegovina,373105,15614,192218
Qatar,358946,674,356884
Cyprus,347876,895,124370
New Zealand,328836,91,118883
Kenya,323160,5644,317465
Zambia,314986,3960,309336
Réunion,310181,680,298082
North Macedonia,301016,9123,289847
Albania,272552,3485,268093
Algeria,265391,6861,178008
Botswana,263950,2619,259434
Nigeria,254861,3142,249307
Zimbabwe,241548,5408,231012
Uzbekistan,237129,1637,234447
Montenegro,231391,2692,227870
Mozambique,225165,2198,221955
Kyrgyzstan,200707,2971,195786
Luxembourg,191964,1004,180078
Afghanistan,175974,7640,158302
Maldives,174163,297,159621
Uganda,163462,3594,100108
Ghana,160681,1445,159044
Iceland,158533,79,75685
Namibia,157366,4014,153069
El Salvador,156364,4094,132410
Laos,145507,640,7660
