region,cases,deaths,recovered
USA,83240101,1021581,80795416
India,43088401,523889,42541887
Brazil,30482429,663765,29585304
France,28757765,146262,27163793
Germany,24949403,136183,22658600
UK,22073858,175319,21357447
Russia,18201074,376292,17563272
S. Korea,17395791,23079,N/A
Italy,16586268,163889,15222419
Turkey,15036110,98801,14932844
Spain,11953481,104668,11446906
Vietnam,10659358,43044,9267281
Argentina,9083673,128653,8895999
Netherlands,8053048,22262,7886439
Japan,7925130,29631,7517841
Iran,7223576,141131,6992001
Colombia,6092667,139797,5926476
Australia,6054634,7345,5658513
Indonesia,6047315,156305,5884059
Poland,5997825,116069,5334769
Mexico,5740080,324350,5039624
Ukraine,5002870,108411,N/A
Malaysia,4451781,35564,4384384
Thailand,4290824,28863,4153310
Austria,4154244,18183,4063754
Israel,4082961,10699,4048807
Belgium,4071279,31494,3839678
Czechia,3907793,40175,3855944
Portugal,3853800,22280,N/A
South Africa,3802198,100377,3661635
Canada,3760414,39350,3464666
Philippines,3686216,60412,3620659
Switzerland,3619035,13865,3489351
Peru,3567171,212877,N/A
Chile,3563650,57544,3429109
Greece,3335550,29249,3237163
Denmark,2968301,6191,2946060
Romania,2896012,65510,2606660
Sweden,2500917,18739,2471212
Iraq,2325287,25212,2298392
Serbia,2007554,16007,1978619
Bangladesh,1952733,29127,1896279
Hungary,1903200,46266,1808061
Slovakia,1782607,19938,1746024
Jordan,1694216,14048,1678941
Georgia,1655221,16811,1637293
Pakistan,1528564,30372,1494141
Ireland,1519296,7092,1464118
Norway,1426798,2932,N/A
Kazakhstan,1305551,13660,1291101
Hong Kong,1205083,9325,N/A
Singapore,1202546,1338,1140531
Morocco,1165004,16069,1148595
Bulgaria,1157919,36947,983414
Croatia,1123578,15848,1103204
Cuba,1103395,8527,1094057
Lebanon,1097118,10392,1081770
Lithuania,1058779,9108,1026020
Tunisia,1040193,28550,N/A
Finland,1023013,3939,46000
Slovenia,1011253,6598,991777
Belarus,980868,6954,928536
Nepal,978865,11951,966697
New Zealand,961262,753,905645
Bolivia,905097,21923,859363
UAE,899242,2302,882880
Uruguay,895775,7197,886654
Ecuador,869696,35598,N/A
Costa Rica,852074,8405,832853
Guatemala,846785,17622,827077
Latvia,823110,5777,809733
Azerbaijan,792585,9709,782804
Panama,778310,8188,763639
Saudi Arabia,754340,9093,742019
Sri Lanka,663426,16506,646131
Paraguay,649455,18870,624673
Kuwait,631409,2555,628090
Myanmar,612924,19434,591879
Palestine,581940,5353,576242
Dominican Republic,579443,4376,574726
Estonia,572434,2548,511857
Bahrain,569727,1476,565160
Venezuela,522514,5709,515728
Moldova,516986,11489,504142
Egypt,515645,24613,442182
Libya,501904,6430,490973
Cyprus,474267,1020,124370
Ethiopia,470609,7510,455711
Mongolia,469885,2179,313256
Honduras,423179,10893,132318
Armenia,422874,8622,412019
Oman,389126,4258,384243
Bosnia and Herzegovina,377087,15765,192218
Réunion,374295,742,355605
Qatar,364778,677,363573
Kenya,323796,5649,318010
Zambia,319755,3976,315266
North Macedonia,309790,9282,299936
Botswana,305859,2688,303026
Albania,275191,3496,271339
Algeria,265782,6875,178358
Nigeria,255766,3143,249914
Zimbabwe,247990,5470,241861
Luxembourg,239335,1064,229617
Uzbekistan,238628,1637,236746
Montenegro,235403,2716,232032
Mozambique,225387,2201,223143
Laos,207867,745,7660
Kyrgyzstan,200993,2991,196405
Iceland,185579,119,75685
Maldives,179171,298,163687
Afghanistan,178901,7683,161896
Taiwan,173942,876,28721
Uganda,164069,3596,100205
El Salvador,162089,4128,150662
