region,cases,deaths,recovered
USA,19575248,341149,11496902
India,10210536,147982,9784529
Brazil,7484285,191146,6515370
Russia,3078035,55265,2471309
France,2559686,62746,189941
UK,2288345,70752,N/A
Turkey,2147578,19878,2015230
Italy,2047696,71925,1394011
Spain,1869610,49824,N/A
Germany,1658767,30639,1255700
Colombia,1594497,42171,1455975
Argentina,1583297,42650,1407926
Mexico,1383434,122426,1038766
Poland,1261010,27147,1005376
Iran,1206373,54814,960751
Ukraine,1030374,17849,665729
Peru,1007657,37474,945603
South Africa,1004413,26735,844874
Netherlands,762985,10998,N/A
Indonesia,719219,21452,589978
Czechia,674340,11152,566048
Belgium,638877,19200,43873
Romania,618429,15334,543341
Chile,600105,16443,569578
Iraq,592528,12791,533314
Canada,552020,14963,457193
Bangladesh,510080,7479,453318
Pakistan,473309,9929,423892
Philippines,470650,9124,438780
Switzerland,438284,7283,317600
Morocco,432079,7240,398060
Israel,403986,3240,364879
Sweden,396048,8279,N/A
Portugal,394573,6619,319746
Saudi Arabia,362339,6196,353353
Austria,353484,5931,326768
Serbia,326060,3030,31536
Hungary,316669,9161,134344
Jordan,287946,3758,261514
Nepal,258840,1832,250581
Panama,231357,3840,185966
Georgia,222143,2418,206313
Japan,217312,3213,182596
Azerbaijan,214711,2499,168971
Ecuador,209355,13992,184507
Croatia,205246,3739,193471
UAE,202863,660,179925
Bulgaria,197716,7164,111008
Belarus,188588,1394,167421
Lebanon,171226,1394,122657
Slovakia,168092,1879,120410
Dominican Republic,166764,2404,128604
Costa Rica,162990,2086,128842
Armenia,157948,2775,139675
Denmark,155826,1204,114841
Bolivia,154843,9098,130222
Kazakhstan,152460,2196,139843
Kuwait,149653,931,145579
Qatar,143062,244,140866
Moldova,141355,2891,127404
Greece,135456,4606,9989
Guatemala,135309,4768,124267
Palestine,134310,1332,110927
Egypt,132541,7405,110015
Lithuania,132369,1269,62098
Tunisia,131592,4466,100207
Oman,128563,1495,121182
Ethiopia,122864,1909,109293
Myanmar,121886,2601,103223
Honduras,119097,3065,55704
Slovenia,115323,2595,94191
Venezuela,112316,1014,106453
Bosnia and Herzegovina,109691,3953,75717
Malaysia,106690,455,85592
Paraguay,104422,2188,78262
Libya,98913,1440,69763
Algeria,98249,2728,65862
Kenya,95923,1658,77423
Bahrain,91733,351,89456
Ireland,86129,2204,23364
Nigeria,84414,1254,71034
North Macedonia,81721,2445,59231
Kyrgyzstan,80535,1349,75057
Uzbekistan,76832,613,74439
Singapore,58529,29,58370
S. Korea,57680,819,39268
Albania,56254,1153,31565
Ghana,54401,333,53180
Afghanistan,52147,2182,41610
Norway,47059,429,37658
Montenegro,46694,666,36993
Luxembourg,45830,478,37574
El Salvador,44619,1313,39989
Sri Lanka,41420,191,33221
Latvia,36838,578,25533
Finland,35137,546,26000
Uganda,33973,248,11297
Australia,28337,909,25733
Cameroon,26277,448,24892
Estonia,25808,213,15921
Sudan,23316,1468,13524
Ivory Coast,22152,135,21752
Namibia,21923,191,18039
Zambia,19943,384,18296
Cyprus,19657,112,2057
Senegal,18728,390,17031
Mozambique,18265,161,16119
Madagascar,17714,261,17228
Angola,17240,399,10354
DRC,16839,579,14484
Uruguay,16728,158,11366
French Polynesia,16550,108,4842
Botswana,14025,40,11627
Guinea,13674,80,13067
Maldives,13644,48,13072
Mauritania,13642,324,10297
Tajikistan,13205,90,12692
Zimbabwe,13077,349,10593
French Guiana,12779,71,9995
Jamaica,12723,295,10019
Malta,12426,215,10791
Cabo Verde,11714,112,11447
Cuba,11205,142,9705
Syria,11033,678,5141
Belize,10561,233,9281
