region,cases,deaths,recovered
USA,76222215,910104,46242222
India,41469499,496268,39230198
Brazil,25454105,627365,22196442
France,19140730,130931,12442332
UK,17315893,155754,13484929
Russia,11861077,331349,10248281
Turkey,11619882,87416,10911159
Italy,10983116,146498,8244012
Spain,9961253,93225,6201520
Germany,9896344,118527,7705000
Argentina,8378656,121273,7706670
Iran,6373174,132454,6106442
Colombia,5887261,134300,5661163
Mexico,4942590,306091,4070755
Poland,4886154,105194,4013430
Indonesia,4353370,144320,4140454
Netherlands,4320257,21272,3127043
Ukraine,4064495,100203,3622745
South Africa,3605222,95093,3456461
Philippines,3560202,54003,3315381
Peru,3239538,205834,N/A
Belgium,3155239,29052,2076386
Canada,3055155,33873,2811924
Czechia,3013454,37209,2678662
Israel,2900576,8805,2444475
Malaysia,2870758,31978,2784003
Japan,2730828,18792,2096354
Portugal,2639802,19905,2033747
Australia,2579240,3835,2242246
Thailand,2447964,22188,2342765
Vietnam,2275727,37777,2022450
Romania,2216525,60025,1899522
Switzerland,2211456,12808,1338228
Iraq,2210582,24389,2110752
Chile,2165984,39721,1768677
Sweden,2070456,15820,1326414
Greece,1940723,23500,1700124
Austria,1855578,14103,1535587
Bangladesh,1798833,28394,1568213
Serbia,1677798,13629,1386297
Denmark,1667768,3755,1117188
Hungary,1553405,41405,1280399
Pakistan,1430366,29301,1295390
Kazakhstan,1238954,13260,1085679
Jordan,1225309,13217,1126695
Ireland,1183008,6136,805704
Georgia,1175923,14980,1009778
Morocco,1132716,15400,1076471
Cuba,1044790,8399,1022611
Slovakia,1008141,17830,862841
Nepal,953913,11743,862898
Bulgaria,951965,33318,674414
Croatia,937167,13827,868690
Lebanon,921208,9606,682977
Tunisia,909813,26288,779096
S. Korea,864042,6772,629487
Bolivia,855705,20951,695755
UAE,845058,2243,777096
Norway,781049,1440,88952
Belarus,742953,6052,733526
Ecuador,732038,34533,N/A
Slovenia,710776,5865,532523
Panama,700274,7732,631135
Costa Rica,694865,7575,574517
Guatemala,690290,16385,635494
Saudi Arabia,687264,8940,640353
Lithuania,679513,7872,578258
Uruguay,668425,6479,594827
Azerbaijan,658470,8734,625023
Sri Lanka,611185,15441,578432
Paraguay,583662,17321,498886
Dominican Republic,555245,4307,543755
Kuwait,545717,2497,491502
Myanmar,535532,19310,513273
Palestine,490415,4835,444719
Finland,489870,1990,46000
Venezuela,485974,5447,463648
Ethiopia,465158,7337,398445
Mongolia,444588,2113,313256
Moldova,440698,10642,382698
Libya,429666,6017,392457
Egypt,425911,22635,358165
Latvia,392764,4873,299064
Honduras,391874,10504,127038
Bahrain,374575,1408,328998
Armenia,367795,8053,336005
Singapore,352811,855,332525
Bosnia and Herzegovina,347467,14447,192218
Qatar,339147,645,315769
Oman,338880,4146,315150
Estonia,337543,2033,259373
Kenya,321381,5583,294722
Zambia,305047,3917,297972
North Macedonia,268901,8409,246864
Albania,258573,3346,236440
Cyprus,256746,733,124370
Nigeria,253181,3136,229315
Botswana,253036,2581,243798
Algeria,252117,6579,167715
Zimbabwe,229666,5338,219414
Uzbekistan,224023,1568,210346
Mozambique,223827,2173,213368
Montenegro,219775,2564,211003
Kyrgyzstan,198518,2884,188143
Réunion,180531,500,108771
Afghanistan,162926,7414,146577
Uganda,161772,3528,99289
Luxembourg,157985,952,120291
Ghana,156920,1395,153649
Namibia,155899,3967,145784
Maldives,138880,276,120821
El Salvador,134155,3899,120084
Laos,133853,547,7660
Rwanda,128891,1440,45522
Jamaica,124512,2658,70003
Cambodia,121390,3015,117633
Cameroon,116718,1880,106050
Trinidad and Tobago,111549,3404,84292
Guadeloupe,105319,773,2250
Angola,98116,1895,94978
DRC,85379,1278,50930
Senegal,84999,1946,80306
Malawi,84475,2561,69332
Martinique,82813,826,104
Ivory Coast,80718,785,77971
French Guiana,75713,375,11254
Suriname,73769,1263,49272
Eswatini,68367,1375,66765
Malta,67717,550,63783
Iceland,67673,46,57050
Fiji,62855,801,60496
Guyana,59889,1168,47612
Madagascar,59319,1274,53582
Mauritania,58243,953,54947
Sudan,57632,3441,40329
Cabo Verde,55695,396,54761
Syria,51402,2989,38618
Belize,50487,625,40691
French Polynesia,48266,636,N/A
Gabon,46925,301,42047
Barbados,44430,280,33880
Channel Islands,42052,131,38689
Burundi,37299,38,773
Seychelles,37190,154,34710
Curaçao,37128,232,35342
Papua New Guinea,36866,597,35877
Togo,36491,268,32541
Mayotte,36361,187,2964
Guinea,36166,419,32133
Andorra,35958,145,32097
Tanzania,33230,789,N/A
Aruba,33000,193,32513
Bahamas,32562,746,24435
Lesotho,32176,693,21484
Mali,30052,714,30052
Haiti,29217,786,24527
Benin,26450,163,25506
Mauritius,26235,762,24963
Somalia,25388,1335,13182
Congo,23705,371,20178
Isle of Man,21567,70,20938
Saint Lucia,20942,328,16938
Burkina Faso,20624,366,20132
New Caledonia,20486,283,14777
Timor-Leste,19946,122,19743
Faeroe Islands,19625,18,7693
Taiwan,18790,851,16612
Nicaragua,17650,216,4225
Tajikistan,17318,124,17096
South Sudan,16794,137,13077
New Zealand,16620,53,14865
Brunei,16476,98,15920
Equatorial Guinea,15802,182,15200
Djibouti,15464,189,15198
Hong Kong,14197,213,12572
CAR,13919,110,6859
Cayman Islands,13788,15,8553
Gibraltar,12950,101,11513
San Marino,12884,109,11132
Grenada,12336,210,10726
Gambia,11842,347,11138
Yemen,10961,2012,7105
Bermuda,10793,117,9751
Greenland,10707,5,2761
Eritrea,9536,98,9216
Saint Martin,9439,61,1399
Sint Maarten,9308,79,8611
Dominica,9032,51,8114
Liechtenstein,8928,73,8475
Niger,8652,298,8005
Monaco,8359,45,7980
Comoros,7832,160,7648
Sierra Leone,7623,125,N/A
Guinea-Bissau,7586,156,6642
Liberia,7272,290,5747
Chad,7155,190,4874
Caribbean Netherlands,7001,28,6527
St. Vincent Grenadines,6685,94,5769
