region,cases,deaths,recovered
USA,26269290,442068,15984797
India,10720971,154294,10393162
Brazil,9011822,220435,7798655
Russia,3793810,71651,3229258
UK,3743734,103126,1673936
France,3130629,74800,220570
Spain,2792360,57806,N/A
Italy,2515507,87381,1953509
Turkey,2457118,25605,2340216
Germany,2194545,56220,1883700
Colombia,2055305,52523,1880041
Argentina,1896053,47435,1682563
Mexico,1806849,153639,1362525
Poland,1496665,36443,1250892
South Africa,1437798,43105,1272197
Iran,1398841,57736,1189975
Ukraine,1206412,22351,992031
Peru,1113970,40272,1028120
Indonesia,1037993,29331,842122
Netherlands,966252,13816,N/A
Czechia,964660,15944,851400
Canada,764687,19626,687991
Romania,721513,18105,666001
Chile,714143,18174,670336
Belgium,699662,20933,48391
Portugal,685383,11608,493699
Israel,624814,4612,545381
Iraq,617202,13024,588260
Sweden,564557,11520,N/A
Pakistan,539387,11514,494578
Bangladesh,533953,8087,478546
Philippines,519575,10552,475596
Switzerland,519404,9308,317600
Morocco,469139,8224,447076
Austria,410230,7607,387787
Serbia,390637,3965,31536
Japan,375607,5361,314434
Saudi Arabia,367276,6366,358753
Hungary,363450,12291,249003
Jordan,324169,4269,311888
Panama,315400,5176,266534
Lebanon,293157,2621,172497
UAE,293052,819,267024
Nepal,270375,2020,265069
Georgia,256287,3127,246459
Ecuador,246000,14766,204071
Slovakia,243427,4411,205247
Belarus,242851,1688,229199
Croatia,230978,4943,222862
Azerbaijan,229793,3113,222154
Bulgaria,217014,8944,181622
Dominican Republic,208610,2603,151703
Bolivia,208074,10167,154377
Tunisia,204351,6508,152436
Malaysia,198208,717,154299
Denmark,197208,2071,184853
Ireland,192645,3167,23364
Costa Rica,192066,2584,150748
Kazakhstan,182530,2476,164319
Lithuania,180170,2743,125067
Armenia,166669,3067,156645
Egypt,163761,9115,127963
Kuwait,163450,958,156387
Slovenia,163235,3448,142134
Moldova,158309,3413,148432
Guatemala,157595,5543,142320
Palestine,157593,1812,147620
Greece,154796,5742,142646
Qatar,150280,248,145414
Honduras,144007,3512,60669
Myanmar,139152,3103,123556
Ethiopia,135594,2085,121860
Oman,133728,1527,126572
Paraguay,130163,2668,105353
Nigeria,126160,1543,100365
Venezuela,124958,1165,117115
Bosnia and Herzegovina,120864,4643,93657
Libya,116779,1832,96293
Algeria,106359,2877,72538
Bahrain,101116,371,97337
Kenya,100422,1753,83757
North Macedonia,91891,2831,80393
Kyrgyzstan,84303,1408,80481
Uzbekistan,78556,621,77047
S. Korea,76926,1386,66016
Albania,75454,1350,45906
Latvia,63992,1148,52062
Ghana,62751,377,58561
Norway,62129,557,53299
Sri Lanka,61045,297,54435
Montenegro,60288,790,51954
Singapore,59425,29,59148
Afghanistan,54939,2398,47583
El Salvador,53989,1599,47643
Zambia,50319,705,42771
Luxembourg,50228,574,47506
Finland,44039,664,31000
Estonia,42656,406,32398
Uganda,39424,318,14114
Uruguay,39328,407,31598
Mozambique,35833,347,22750
Namibia,33459,332,31409
Zimbabwe,32646,1160,24419
Cyprus,30380,193,2057
Cameroon,29617,462,28045
Australia,28793,909,26029
Ivory Coast,27694,151,25542
Sudan,26671,1760,20936
Senegal,25711,614,21395
Cuba,24105,208,19050
DRC,22322,665,14997
Malawi,22304,555,7548
Botswana,21293,134,17198
Angola,19672,464,17692
Madagascar,18743,279,17930
French Polynesia,17996,131,4842
Malta,17400,261,14452
Mauritania,16506,419,15491
Thailand,16221,76,11287
French Guiana,15932,76,9995
Maldives,15496,51,14028
Jamaica,15435,344,11961
Eswatini,15283,538,9833
Rwanda,14529,186,9234
Guinea,14435,82,13946
Syria,13823,900,7260
Cabo Verde,13784,131,12981
Tajikistan,13308,90,13218
Belize,11816,294,11236
Haiti,11370,244,9016
Gabon,10536,68,10122
Hong Kong,10322,177,9239
Burkina Faso,10217,120,8759
Réunion,9904,45,9261
Andorra,9779,100,8942
Guadeloupe,9097,154,2242
Suriname,8243,152,7433
Bahamas,8161,175,6754
Lesotho,8142,160,2504
Mali,8037,327,5870
Mayotte,8032,61,2964
Congo,7887,117,5846
Trinidad and Tobago,7520,134,7099
Guyana,7380,174,6488
Aruba,6858,59,6394
Martinique,6402,45,98
Nicaragua,6253,169,4225
Iceland,6001,29,5925
Djibouti,5929,62,5845
Equatorial Guinea,5492,86,5268
CAR,4980,63,4885
Togo,4870,76,4092
Somalia,4784,130,3666
Curaçao,4567,20,4466
Niger,4433,153,3583
Gibraltar,4082,70,3530
Gambia,4019,128,3780
South Sudan,3929,64,3613
Benin,3786,48,3317
Channel Islands,3554,79,3227
Chad,3296,118,2364
Sierra Leone,3282,77,2260
San Marino,2969,65,2684
Comoros,2598,85,1538
Guinea-Bissau,2532,45,2421
Liechtenstein,2475,52,2352
New Zealand,2299,25,2205
Yemen,2120,615,1425
Eritrea,2085,7,1549
Liberia,1936,84,1757
Sint Maarten,1807,27,1625
Mongolia,1692,2,1244
Vietnam,1560,35,1430
Burundi,1542,2,773
Barbados,1477,11,1098
Monaco,1430,11,1198
Turks and Caicos,1387,8,1051
Saint Martin,1234,12,1050
Sao Tome and Principe,1232,17,1011
Seychelles,1149,3,854
Saint Lucia,1029,13,523
Taiwan,895,7,809
Bhutan,857,1,776
Papua New Guinea,851,9,812
