region,cases,deaths,recovered
USA,80843570,981729,54136964
India,42951556,514620,42367070
Brazil,28906214,650646,26810286
France,22900531,138942,21364712
UK,19074696,161898,17537214
Russia,16775024,354787,14263191
Germany,15375508,124265,11898500
Turkey,14255545,95025,13572870
Italy,12910506,155399,11713645
Spain,11078028,100239,9800509
Argentina,8921536,126531,8705178
Iran,7080217,137593,6709131
Netherlands,6504886,21589,4653115
Colombia,6068074,138939,5895880
Poland,5721316,112336,5110017
Indonesia,5693702,149596,5026853
Mexico,5544644,319296,4821403
Japan,5210263,24349,4499479
Ukraine,4809624,105505,4058020
S. Korea,3958326,8580,969524
Vietnam,3885631,40547,2550525
South Africa,3679539,99499,3554282
Philippines,3665747,56770,3558747
Israel,3653608,10239,3585292
Czechia,3616640,38837,3491603
Belgium,3571579,30217,3125022
Malaysia,3528557,33028,3197298
Peru,3522484,210907,N/A
Australia,3321805,5354,3081549
Canada,3310385,36843,3161973
Portugal,3294691,21141,2799531
Chile,3122802,42683,2148749
Thailand,2981996,23127,2731029
Switzerland,2877753,13300,2293957
Austria,2775589,14924,2478168
Romania,2760332,63849,2555390
Denmark,2702397,4772,2396579
Greece,2470212,26036,2263358
Sweden,2455966,17479,2243175
Iraq,2307158,25034,2252820
Bangladesh,1946369,29064,1835980
Serbia,1919327,15346,1825695
Hungary,1800046,44286,1618574
Jordan,1638228,13849,1546429
Georgia,1620639,16306,1539413
Pakistan,1512707,30248,1451665
Slovakia,1493383,18631,1305892
Ireland,1311105,6527,1186629
Kazakhstan,1303316,13623,1273733
Norway,1289884,1664,88952
Morocco,1161392,16006,1142318
Bulgaria,1097298,35716,848792
Lebanon,1074372,10125,682977
Cuba,1071326,8498,1060502
Croatia,1061429,15172,1035378
Tunisia,1000518,27857,958952
Nepal,977380,11945,958193
Belarus,927464,6535,918284
Lithuania,923815,8484,834680
Slovenia,900857,6341,865893
Bolivia,894200,21453,793814
UAE,881919,2301,840077
Uruguay,849050,7014,825045
Ecuador,836216,35264,N/A
Costa Rica,812812,8073,682991
Azerbaijan,787937,9473,771530
Guatemala,786869,17029,730907
Singapore,785825,1049,715419
Panama,756539,8101,743902
Saudi Arabia,746836,9005,726351
Latvia,689794,5323,551818
Finland,671773,2387,46000
Sri Lanka,648410,16287,609485
Paraguay,642982,18440,612406
Kuwait,621466,2541,611381
Myanmar,593958,19379,541648
Palestine,577486,5267,561340
Dominican Republic,575437,4370,569294
Bahrain,521613,1456,494414
Venezuela,515943,5643,504626
Estonia,511022,2275,393305
Moldova,503690,11254,480308
Libya,497279,6288,472350
Egypt,487642,24149,417479
Ethiopia,468850,7473,419993
Mongolia,465326,2173,313256
Armenia,421008,8516,404993
Honduras,413699,10785,128408
Oman,383874,4248,371874
Bosnia and Herzegovina,371846,15505,192218
Qatar,357764,670,354367
Hong Kong,350557,1366,13232
Cyprus,328657,861,124370
Kenya,323025,5640,303296
Zambia,313613,3958,307968
Réunion,302162,666,289069
North Macedonia,298661,9050,286378
Albania,271920,3476,266697
Algeria,265130,6848,177732
Botswana,263950,2619,259434
Nigeria,254606,3142,249154
Zimbabwe,238106,5397,227442
Uzbekistan,236771,1637,233777
Montenegro,230631,2682,226684
Mozambique,225100,2194,219863
Kyrgyzstan,200599,2962,195531
New Zealand,188680,63,36138
Luxembourg,185707,995,175045
Afghanistan,174214,7619,157199
Maldives,171649,297,156452
Uganda,163338,3590,100064
Ghana,160028,1442,157999
Namibia,157284,4010,152806
El Salvador,156364,4081,132410
Laos,143710,628,7660
Iceland,140929,68,75685
Cambodia,131738,3038,125536
Rwanda,129543,1458,45522
Trinidad and Tobago,128976,3642,102736
Jamaica,128108,2815,77860
Guadeloupe,126642,837,2250
