region,cases,deaths,recovered
USA,30768938,559609,23192391
Brazil,12324765,303726,10772549
India,11846082,160983,11262503
Russia,4492692,96612,4109281
France,4424087,93378,286607
UK,4319128,126445,3748042
Italy,3464543,106799,2794888
Spain,3247738,74420,3007623
Turkey,3120013,30619,2900829
Germany,2732130,76116,2456200
Colombia,2359942,62519,2250063
Argentina,2278115,55092,2056472
Mexico,2208755,199627,1748317
Poland,2154821,50860,1722856
Iran,1830823,62142,1569697
Ukraine,1596575,31135,1283020
South Africa,1541563,52535,1467254
Czechia,1495361,25450,1295205
Peru,1492519,50656,1406304
Indonesia,1482559,40081,1317199
Netherlands,1228647,16397,N/A
Chile,954762,22524,892973
Canada,951562,22790,889850
Romania,919794,22719,825208
Belgium,849090,22786,55928
Israel,830845,6163,813014
Portugal,819210,16814,770448
Iraq,815605,14128,732252
Sweden,773690,13373,N/A
Philippines,693048,13095,580062
Pakistan,640988,14028,588975
Hungary,603347,19224,387570
Switzerland,590164,10284,541208
Bangladesh,584395,8797,529594
Serbia,571895,5075,480400
Jordan,571290,6277,463893
Austria,526393,9178,483460
Morocco,493353,8788,481074
Japan,460897,8938,437702
Lebanon,452281,5964,353342
UAE,448637,1466,431773
Saudi Arabia,386782,6630,375831
Slovakia,354182,9313,255300
Panama,352579,6073,341476
Malaysia,338168,1248,322416
Bulgaria,321104,12512,244472
Ecuador,318656,16582,271847
Belarus,314993,2193,305560
Georgia,279027,3732,271278
Nepal,276509,3020,272272
Bolivia,267059,12107,214988
Croatia,262309,5838,248064
Dominican Republic,250968,3295,210042
Azerbaijan,250921,3421,234382
Tunisia,248037,8663,214407
Greece,247992,7701,211872
Kazakhstan,236200,2941,213743
Ireland,232758,4631,23364
Palestine,232038,2521,205289
Denmark,227894,2405,215770
Kuwait,224432,1258,208771
Moldova,222120,4702,195558
Costa Rica,213438,2908,190950
Lithuania,211804,3521,196067
Slovenia,209753,3998,194238
Paraguay,202700,3910,166002
Egypt,198011,11768,151765
Ethiopia,194524,2741,151172
Guatemala,191207,6765,173765
Armenia,187441,3416,169727
Honduras,184821,4506,69935
Qatar,175919,281,161815
Nigeria,162275,2036,149882
Bosnia and Herzegovina,160163,6144,127799
Libya,155232,2591,142633
Oman,153838,1650,140766
Venezuela,153315,1521,142381
Myanmar,142315,3204,131774
Bahrain,139124,508,131115
Kenya,126170,2092,91268
North Macedonia,123491,3574,103374
Albania,122767,2184,87760
Algeria,116543,3071,81065
Estonia,100437,836,71376
S. Korea,100276,1709,92068
Latvia,99476,1864,90537
Sri Lanka,91289,554,87881
Norway,90935,656,74332
Ghana,89999,737,86621
Montenegro,88991,1230,80243
Uruguay,87812,843,71588
Kyrgyzstan,87758,1494,84407
Zambia,87318,1191,83895
Uzbekistan,81816,624,80143
Finland,74242,815,46000
Cuba,69802,408,66004
Mozambique,66762,753,54095
El Salvador,63766,1990,61009
Singapore,60253,30,60086
Luxembourg,60205,736,56044
Afghanistan,56254,2469,49937
Cyprus,43610,248,2057
Namibia,43010,502,40884
Ivory Coast,42074,229,37797
Uganda,40734,334,15147
Cameroon,40622,601,35261
Botswana,38466,506,33903
Senegal,38255,1028,35811
Jamaica,37128,546,16739
Zimbabwe,36778,1518,34555
Malawi,33387,1108,29260
Sudan,29661,2028,23990
Australia,29228,909,26257
Malta,28612,378,26148
Thailand,28443,92,26946
DRC,27729,726,25355
Maldives,23091,66,20439
Madagascar,23040,369,21372
Angola,21914,532,20190
Rwanda,21210,298,19540
Mayotte,19306,154,2964
Guinea,19232,113,16190
French Polynesia,18605,141,4842
Gabon,18426,109,15863
Syria,18046,1206,12022
Mauritania,17712,447,16962
Eswatini,17306,666,16250
French Guiana,16922,89,9995
Cabo Verde,16787,164,15936
Réunion,15561,102,14064
Tajikistan,13308,90,13218
Haiti,12732,251,10754
