region,cases,deaths,recovered
USA,31420331,568777,23946703
Brazil,12984956,331530,11357521
India,12589067,165132,11682136
France,4822470,96678,299624
Russia,4589540,100717,4211133
UK,4359388,126836,3901642
Italy,3668264,111030,2988199
Turkey,3487050,32263,3105350
Spain,3300965,75698,3054725
Germany,2895631,77557,2581500
Poland,2448463,55005,2009308
Colombia,2446219,64094,2317564
Argentina,2393492,56199,2140480
Mexico,2250458,204147,1788209
Iran,1932074,63160,1650569
Ukraine,1755888,34587,1352139
Peru,1582367,52877,1500582
Czechia,1553820,27057,1411748
South Africa,1551964,52987,1477363
Indonesia,1534255,41669,1375877
Netherlands,1302146,16622,N/A
Chile,1026785,23644,958400
Canada,1003988,23062,922524
Romania,974375,24070,871950
Belgium,900996,23169,58225
Iraq,873568,14463,778535
Israel,834247,6243,822787
Portugal,823335,16879,780322
Sweden,813191,13498,N/A
Philippines,803398,13435,646237
Pakistan,692231,14821,615960
Hungary,689853,21928,418084
Bangladesh,637364,9266,552482
Jordan,632907,7201,543761
Serbia,617669,5458,520690
Switzerland,605342,10353,548375
Austria,558755,9449,512642
Morocco,498197,8850,484921
Japan,482867,9221,450624
Lebanon,479501,6409,380472
UAE,470136,1510,454600
Saudi Arabia,392682,6697,379816
Slovakia,365242,10025,255300
Panama,356377,6135,345493
Bulgaria,352999,13589,270433
Malaysia,350959,1288,335162
Ecuador,335681,16956,290314
Belarus,327304,2285,318033
Georgia,284061,3822,275024
Croatia,280026,6058,260536
Nepal,277944,3032,273240
Greece,275414,8380,234045
Bolivia,274934,12324,224998
Azerbaijan,270735,3677,241646
Tunisia,260044,8965,219035
Kazakhstan,255028,3110,225256
Dominican Republic,254295,3346,214177
Palestine,251288,2706,222007
Ireland,238148,4718,23364
Kuwait,237192,1353,221943
Moldova,235087,5136,215091
Denmark,233318,2429,221590
Paraguay,221207,4399,181949
Slovenia,220425,4082,202239
Lithuania,220212,3615,201727
Costa Rica,216764,2957,192699
Ethiopia,215189,2963,161968
Egypt,204965,12163,156219
Armenia,197113,3614,176889
Guatemala,195471,6891,179988
Honduras,190631,4644,73373
Qatar,183424,303,165952
Bosnia and Herzegovina,173478,6763,131726
Venezuela,166123,1662,150374
Nigeria,163195,2058,151998
Oman,163157,1690,146677
Libya,162294,2737,149238
Bahrain,148817,536,138407
Myanmar,142511,3206,131815
Kenya,138988,2224,94183
North Macedonia,134867,3940,109297
Albania,126531,2265,93842
Uruguay,117757,1101,89035
Algeria,117622,3105,81896
Estonia,109781,950,87092
S. Korea,105752,1748,96900
Latvia,104224,1934,95561
Norway,98676,673,80023
Sri Lanka,93436,581,90208
Montenegro,92519,1305,85598
Ghana,90782,748,88585
Kyrgyzstan,89153,1507,85271
