region,cases,deaths,recovered
USA,94683939,1062343,89806181
India,44253464,527037,43609566
France,34213094,153064,33379198
Brazil,34164891,681480,32945953
Germany,31535343,145698,30104400
UK,23420826,186087,23005076
Italy,21499531,174060,20447901
S. Korea,21355958,25623,19421380
Russia,18881958,383125,18136077
Turkey,16295817,99678,15875121
Japan,15445279,35001,13394112
Spain,13294139,111667,12906369
Vietnam,11365784,43098,10020569
Australia,9795953,12859,9538095
Argentina,9602534,129440,9366197
Netherlands,8362564,22542,8245165
Iran,7475173,142944,7171824
Mexico,6925668,328724,6124211
Colombia,6286392,141287,6109349
Indonesia,6282774,157226,6072421
Poland,6119257,116773,5335893
Portugal,5376433,24722,5261021
Ukraine,5030389,108743,4913469
Taiwan,4888840,9435,4438271
Austria,4825495,19274,4729737
DPRK,4772813,74,4772739
Malaysia,4735547,36085,4656031
Thailand,4620425,31831,4567639
Israel,4614413,11501,4582480
Greece,4577675,31722,4457616
Belgium,4453483,32364,4316686
Chile,4380148,59989,4269397
Canada,4109931,43178,3966538
Peru,4022016,214934,3699616
Czechia,4011962,40641,3955534
South Africa,4008164,101982,3897607
Switzerland,3975537,14096,3851130
Philippines,3831941,61036,3730889
Romania,3157372,66348,2993232
Denmark,3076642,6792,3053192
Sweden,2551996,19497,2509568
Iraq,2451178,25326,2409652
Serbia,2206806,16449,2084730
Bangladesh,2008870,29313,1951322
Hungary,2005399,46966,1908907
Slovakia,1827711,20303,1797483
Singapore,1794069,1559,1708080
Jordan,1720778,14090,1701987
Georgia,1710749,16877,1637293
New Zealand,1687705,2497,1654659
Ireland,1650791,7703,1623710
Pakistan,1562888,30527,1520735
Norway,1458057,3834,1451580
Hong Kong,1417022,9565,1258500
Kazakhstan,1376968,13673,1340326
Morocco,1263453,16269,1246125
Finland,1238998,5350,1184767
Bulgaria,1226064,37486,1168982
Croatia,1200742,16496,1177012
Lebanon,1197041,10576,1087587
Tunisia,1139241,29153,N/A
Cuba,1109433,8529,1100459
Slovenia,1103466,6747,1076726
Lithuania,1097367,9229,1038300
Bolivia,1079371,22126,991532
Guatemala,1072241,19223,1026020
Costa Rica,1030000,8780,860711
UAE,1004751,2339,983454
Belarus,994037,7118,985592
Nepal,993032,11988,975609
Ecuador,975234,35811,927857
Uruguay,973420,7423,964398
Mongolia,966423,2179,941511
Panama,960300,8434,943960
Latvia,881020,5909,855832
Saudi Arabia,811958,9269,798805
Azerbaijan,804585,9773,791656
Paraguay,712907,19357,689284
Sri Lanka,668012,16621,650163
Bahrain,666373,1512,660424
Kuwait,655854,2562,652250
